,Unnamed: 0.1,Datetime,KWH/qh,next_hour_cons,Month,Day,Weekend,Hour,Season
0,0,2023-04-30 23:00:00,2.012500047683716,7.975,4,7,1,23,spring
1,1,2023-04-30 23:15:00,1.975000023841858,7.975,4,7,1,23,spring
2,2,2023-04-30 23:30:00,1.975000023841858,7.975,4,7,1,23,spring
3,3,2023-04-30 23:45:00,2.012500047683716,7.975,4,7,1,23,spring
4,4,2023-05-01 00:00:00,2.012500047683716,7.975,5,1,0,0,spring
5,5,2023-05-01 00:15:00,1.975000023841858,7.9125,5,1,0,0,spring
6,6,2023-05-01 00:30:00,1.975000023841858,7.9125,5,1,0,0,spring
7,7,2023-05-01 00:45:00,2.012500047683716,7.975,5,1,0,0,spring
8,8,2023-05-01 01:00:00,1.950000047683716,7.8875,5,1,0,1,spring
9,9,2023-05-01 01:15:00,1.975000023841858,7.8625,5,1,0,1,spring
10,10,2023-05-01 01:30:00,2.0374999046325684,7.7875,5,1,0,1,spring
11,11,2023-05-01 01:45:00,1.924999952316284,7.675,5,1,0,1,spring
12,12,2023-05-01 02:00:00,1.924999952316284,7.7375,5,1,0,2,spring
13,13,2023-05-01 02:15:00,1.899999976158142,7.7625,5,1,0,2,spring
14,14,2023-05-01 02:30:00,1.924999952316284,7.7875,5,1,0,2,spring
15,15,2023-05-01 02:45:00,1.987499952316284,7.775,5,1,0,2,spring
16,16,2023-05-01 03:00:00,1.950000047683716,7.7375,5,1,0,3,spring
17,17,2023-05-01 03:15:00,1.924999952316284,7.7375,5,1,0,3,spring
18,18,2023-05-01 03:30:00,1.912500023841858,7.8125,5,1,0,3,spring
19,19,2023-05-01 03:45:00,1.950000047683716,7.8625,5,1,0,3,spring
20,20,2023-05-01 04:00:00,1.950000047683716,8.375,5,1,0,4,spring
21,21,2023-05-01 04:15:00,2.0,8.975,5,1,0,4,spring
22,22,2023-05-01 04:30:00,1.962499976158142,9.5125,5,1,0,4,spring
23,23,2023-05-01 04:45:00,2.462500095367432,10.0375,5,1,0,4,spring
24,24,2023-05-01 05:00:00,2.549999952316284,10.0625,5,1,0,5,spring
25,25,2023-05-01 05:15:00,2.5374999046325684,9.95,5,1,0,5,spring
26,26,2023-05-01 05:30:00,2.487499952316284,9.8875,5,1,0,5,spring
27,27,2023-05-01 05:45:00,2.487499952316284,9.9625,5,1,0,5,spring
