combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 0.058442708333333336, 'scale': 0.00684020352998339}",684.671857678114,0.10751360771762267,0.0002,-1365.343715356228,-1358.8287246121724,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.11998384545571826, 'loc': 0, 'scale': 0.05803190282035104}",681.2586248237346,0.10696848371518045,0.0001,-1358.5172496474693,-1352.0022589034138,
"(1, 0)",192,lognorm,1,3,"{'s': 2.4120891483305626e-05, 'loc': -283.5217283842763, 'scale': 283.58017101011376}",684.6717734201965,0.10696848371518045,0.0001,-1363.343546840393,-1353.5710607243095,0.008982529232265758
"(1, 0)",192,exponnorm,1,3,"{'K': 0.3596385797865879, 'loc': 0.056128857866001636, 'scale': 0.006433559768029463}",684.7729744714877,0.10779739904916194,0.0001,-1363.5459489429754,-1353.773462826892,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.014519793214993726, 'loc': 0, 'scale': 4.025037234895538}",681.114644007834,0.11768124609414596,0.0001,-1358.229288015668,-1351.7142972716126,
"(1, 0)",192,invgauss,1,3,"{'mu': 0.014823458594028317, 'loc': 0.00016593330782275562, 'scale': 3.933043492501648}",681.0832809129881,0.11761657939798184,0.0001,-1356.1665618259763,-1346.3940757098928,1.0
"(1, 0)",192,beta,1,4,"{'a': 66852.96424200854, 'b': 3644.4979854531757, 'loc': -7.720753357788283, 'scale': 8.203280862430507}",684.6837511160267,0.1060207876312532,0.0001,-1361.3675022320533,-1348.3375207439422,
"(1, 0)",192,gamma_2,1,2,"{'a': 71.04782462948069, 'loc': 0, 'scale': 0.0008225826566557962}",682.9736926839939,0.11316334681400528,0.0001,-1361.9473853679879,-1355.4323946239324,
"(1, 0)",192,gamma,1,3,"{'a': 3877.9992380866242, 'loc': -0.367911851462146, 'scale': 0.00010994095925869645}",684.6089913440178,0.10830116981991914,0.0004,-1363.2179826880356,-1353.4454965719522,0.0705319381824589
"(1, 0)",192,gumbel_r,1,2,"{'loc': 0.05499060452215444, 'scale': 0.0071394409499252595}",664.0502430773302,0.16596324981345642,0.0001,-1324.1004861546603,-1317.5854954106048,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.04160732232231886}",482.3416029410258,0.2524610794533584,0.0001,-962.6832058820517,-959.4257105100239,
"(1, 0)",192,rayleigh,1,2,"{'loc': 0.03957207248617499, 'scale': 0.014193119488112096}",657.6000030851169,0.2524610794533584,0.0001,-1311.2000061702338,-1304.6850154261783,3.2703878125941257e-78
"(1, 0)",192,weibull_min_2,1,2,"{'c': 8.914999388020828, 'loc': 0, 'scale': 0.06146451651723831}",676.2593680702275,0.11763222579770657,0.0001,-1348.518736140455,-1342.0037453963996,
"(1, 0)",192,weibull_min,1,3,"{'c': 4.002522345858745, 'loc': 0.03335980599966274, 'scale': 0.027592074458895416}",682.7257421888128,0.11763219912035258,0.0001,-1359.4514843776255,-1349.6789982615421,0.0003228833992181773
"(1, 0)",192,GMM2,1,6,"{'weights': array([0.60173453, 0.39826547]), 'means': array([0.05608903, 0.06199886]), 'stds': array([0.00626828, 0.00629367])}",684.2068703565726,0.11185192573115973,0.0001,-1356.4137407131452,-1336.8687684809786,1.0
"(1, 0)",192,GMM3,1,9,"{'weights': array([0.6144754 , 0.30308773, 0.08243687]), 'means': array([0.05677704, 0.06544504, 0.04511357]), 'stds': array([0.00357333, 0.00494357, 0.00400603])}",691.8888990163068,0.08207464303592482,0.0001,-1365.7777980326136,-1336.4603396843636,0.0015305429654680748
"(1, 0)",192,WMM2,1,6,"{'weights': array([1., 0.]), 'shapes': array([8.92699257, 1.88464834]), 'scales': array([0.06131781, 0.59344058])}",676.2122914142728,0.12395809731774313,0.065,-1340.4245828285457,-1320.879610596379,1.0
"(1, 0)",192,WMM3,1,9,"{'weights': array([0., 1., 0.]), 'shapes': array([0.12754563, 8.94896014, 0.07376256]), 'scales': array([0.04677888, 0.06137779, 0.05326037])}",676.2363649480499,0.12127776020343048,0.1714,-1334.4727298960997,-1305.1552715478497,0.9972304500503719
"(1, 0)",192,KDEscott,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b14690fe2d0>},694.4712692658161,0.08954810579833675,0.0001,-1386.9425385316322,-1383.6850431596044,
"(1, 0)",192,KDEsilverman,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b1469117a50>},693.4904960077454,0.09261796042045936,0.0001,-1384.9809920154908,-1381.723496643463,
"(1, 1)",192,norm,1,2,"{'loc': 0.056447916666666674, 'scale': 0.0073603240865957945}",670.6008538562425,0.13046871558552722,0.0001,-1337.201707712485,-1330.6867169684294,
"(1, 1)",192,lognorm_2,1,2,"{'s': 0.13638611416097535, 'loc': 0, 'scale': 0.05594347990861858}",663.6941170858996,0.13014430041239264,0.0001,-1323.3882341717992,-1316.8732434277438,
"(1, 1)",192,lognorm,1,3,"{'s': 1.667770699558818e-05, 'loc': -441.2713315226333, 'scale': 441.3277793779231}",670.6005589078975,0.13014430041239264,0.0001,-1335.201117815795,-1325.4286316997116,0.00020194666760235295
"(1, 1)",192,exponnorm,1,3,"{'K': 0.32337147344350115, 'loc': 0.05418463802670799, 'scale': 0.006998710754727511}",670.6244941216221,0.13238138152699883,0.0001,-1335.2489882432442,-1325.4765021271608,
"(1, 1)",192,invgauss_2,1,2,"{'mu': 0.018829105275337966, 'loc': 0, 'scale': 2.9979075394836294}",663.3866541947948,0.14255694949931078,0.0001,-1322.7733083895896,-1316.2583176455341,
"(1, 1)",192,invgauss,1,3,"{'mu': 0.012847712009140555, 'loc': -0.012734063090243657, 'scale': 5.369297036041127}",665.3275339346915,0.14740295544669482,0.0001,-1324.655067869383,-1314.8825817532995,0.04881337657986431
"(1, 1)",192,beta,1,4,"{'a': 10372.264810303739, 'b': 385.4521591471348, 'loc': -3.9031708252142963, 'scale': 4.106769855859188}",670.8684591579445,0.12498370879466689,0.0001,-1333.736918315889,-1320.7069368277778,
"(1, 1)",192,gamma_2,1,2,"{'a': 55.86722235293877, 'loc': 0, 'scale': 0.0010103941862378515}",666.8122703775532,0.14015016155680257,0.0001,-1329.6245407551064,-1323.109550011051,
"(1, 1)",192,gamma,1,3,"{'a': 454.05052983406426, 'loc': -0.10175268856245856, 'scale': 0.00034830116479942495}",669.7736234608917,0.13480623113365295,0.0001,-1333.5472469217834,-1323.7747608057,0.014946983918279363
"(1, 1)",192,gumbel_r,1,2,"{'loc': 0.0526720571358411, 'scale': 0.008016489619332606}",644.2066685041054,0.19021636371621867,0.0001,-1284.4133370082109,-1277.8983462641554,
"(1, 1)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.04025258790852252}",488.0157268559152,0.2853446814555326,0.0001,-974.0314537118304,-970.7739583398027,
"(1, 1)",192,rayleigh,1,2,"{'loc': 0.03379062228519174, 'scale': 0.016845286571449854}",631.624327771364,0.2853446814555326,0.0001,-1259.248655542728,-1252.7336647986726,2.0086893206812405e-64
"(1, 1)",192,weibull_min_2,1,2,"{'c': 8.051825260160616, 'loc': 0, 'scale': 0.05961447243778857}",663.8514468621088,0.1320073109431076,0.0001,-1323.7028937242176,-1317.187902980162,
"(1, 1)",192,weibull_min,1,3,"{'c': 4.402607598802264, 'loc': 0.02678638808893876, 'scale': 0.03241536126354841}",668.3985987657843,0.13200646712856276,0.0001,-1330.7971975315686,-1321.0247114154852,0.002564067929786628
"(1, 1)",192,GMM2,1,6,"{'weights': array([0.51541879, 0.48458121]), 'means': array([0.05579081, 0.05714684]), 'stds': array([0.00955027, 0.0039875 ])}",680.2096166440248,0.10242311838085638,0.0019,-1348.4192332880496,-1328.874261055883,0.00071224938355109
"(1, 1)",192,GMM3,1,9,"{'weights': array([0.57107155, 0.14138046, 0.287548  ]), 'means': array([0.05597935, 0.04441669, 0.06329396]), 'stds': array([0.00343528, 0.00544745, 0.00594783])}",681.5781241384975,0.09452234401101739,0.0001,-1345.156248276995,-1315.838789928745,0.4339735898810867
"(1, 1)",192,WMM2,1,6,"{'weights': array([0., 1.]), 'shapes': array([1.00000000e-10, 8.02864069e+00]), 'scales': array([1.00000000e-10, 5.96562989e-02])}",663.8451151647522,0.12806381478238463,0.0595,-1315.6902303295044,-1296.1452580973378,1.0
"(1, 1)",192,WMM3,1,9,"{'weights': array([1., 0., 0.]), 'shapes': array([8.05384391, 0.22372882, 0.2257366 ]), 'scales': array([0.0596916 , 0.06531465, 0.0635953 ])}",663.8413169306618,0.12603358454624555,0.1637,-1309.6826338613237,-1280.3651755130736,1.0
"(1, 1)",192,KDEscott,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b1468bfd850>},684.9313700297641,0.09126938886019151,0.0001,-1367.8627400595283,-1364.6052446875005,
"(1, 1)",192,KDEsilverman,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b14685d47d0>},683.8629674731533,0.09442832957928574,0.0001,-1365.7259349463066,-1362.4684395742788,
"(1, 2)",192,norm,1,2,"{'loc': 0.05799479166666668, 'scale': 0.01918861896732706}",486.62388568608617,0.2702629503255076,0.0001,-969.2477713721723,-962.7327806281168,
"(1, 2)",192,lognorm_2,1,2,"{'s': 0.20491894257212565, 'loc': 0, 'scale': 0.05644645000819189}",583.8077039324504,0.17860766315074728,0.0001,-1163.6154078649008,-1157.1004171208453,
"(1, 2)",192,lognorm,1,3,"{'s': 0.31938641770232035, 'loc': 0.02155432600834832, 'scale': 0.03425191176477389}",594.5141631736951,0.17860766315074728,0.0001,-1183.0283263473902,-1173.2558402313068,3.7026798225242312e-06
"(1, 2)",192,exponnorm,1,3,"{'K': 1.363156951559291, 'loc': 0.049128148972211544, 'scale': 0.006504328048162175}",604.937803357944,0.14221315149410207,0.0001,-1203.875606715888,-1194.1031205998045,
"(1, 2)",192,invgauss_2,1,2,"{'mu': 0.04627760624943864, 'loc': 0, 'scale': 1.2531934204650044}",577.0758332807999,0.1726759537537621,0.0001,-1150.1516665615998,-1143.6366758175443,
"(1, 2)",192,invgauss,1,3,"{'mu': 0.10934838282605014, 'loc': 0.020312791068756726, 'scale': 0.34460389506678757}",586.2592957845222,0.17268089319218183,0.0001,-1166.5185915690445,-1156.746105452961,1.821933135636016e-05
