combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",52,norm,1,2,"{'loc': 0.21182692307692308, 'scale': 0.1552688389602724}",23.07025169102237,0.435821316377578,0.0001,-42.14050338204475,-38.23801594488189,
"('fall', 1, 1)",52,norm,1,2,"{'loc': 0.18009615384615385, 'scale': 0.0876661630223044}",52.79459885840595,0.3793352985157155,0.0001,-101.5891977168119,-97.68671027964903,
"('fall', 1, 2)",52,norm,1,2,"{'loc': 0.16248076923076923, 'scale': 0.01924387053724998}",131.64445576866544,0.1419179931066349,0.0096,-259.2889115373309,-255.38642410016803,
"('fall', 1, 3)",52,norm,1,2,"{'loc': 0.1582884615384615, 'scale': 0.014819862631022154}",145.22811654594258,0.1348841573506359,0.0183,-286.4562330918852,-282.5537456547223,
"('fall', 1, 4)",52,norm,1,2,"{'loc': 0.1570769230769231, 'scale': 0.016790388910424725}",138.7365258104075,0.2240764894512279,0.0001,-273.473051620815,-269.5705641836521,
"('fall', 1, 5)",52,norm,1,2,"{'loc': 0.2216153846153846, 'scale': 0.10595284761232122}",42.94277439292617,0.2785835525937373,0.0001,-81.88554878585234,-77.98306134868947,
"('fall', 1, 6)",52,norm,1,2,"{'loc': 0.35744230769230767, 'scale': 0.12066345655798488}",36.18219415638332,0.1984583657433877,0.0001,-68.36438831276664,-64.46190087560377,
"('fall', 1, 7)",52,norm,1,2,"{'loc': 0.4678076923076923, 'scale': 0.19824169770777075}",10.365147729670124,0.1818675145487444,0.0005,-16.730295459340248,-12.827808022177392,
"('fall', 1, 8)",52,norm,1,2,"{'loc': 0.6854423076923077, 'scale': 0.3622018356504018}",-20.976013121254777,0.1794015656285535,0.0005,45.952026242509554,49.85451367967241,
"('fall', 1, 9)",52,norm,1,2,"{'loc': 0.7583076923076923, 'scale': 0.35204935943598864}",-19.49764157433845,0.1501894598427015,0.0044,42.9952831486769,46.89777058583975,
"('fall', 1, 10)",52,norm,1,2,"{'loc': 0.744173076923077, 'scale': 0.29576580659716395}",-10.439062475867429,0.1673194757025274,0.0007,24.87812495173485,28.78061238889771,
"('fall', 1, 11)",52,norm,1,2,"{'loc': 0.7351730769230769, 'scale': 0.3285520519089927}",-15.905683710520677,0.0914236423314658,0.3281,35.81136742104135,39.71385485820421,
"('fall', 1, 12)",52,norm,1,2,"{'loc': 0.8830192307692308, 'scale': 0.35479677229391127}",-19.901877182799986,0.1032275490552108,0.1775,43.80375436559997,47.706241802762825,
"('fall', 1, 13)",52,norm,1,2,"{'loc': 0.7303846153846156, 'scale': 0.3103827137488215}",-12.947446238409343,0.1217729791688484,0.051,29.894892476818686,33.797379913981544,
"('fall', 1, 14)",52,norm,1,2,"{'loc': 0.5888846153846153, 'scale': 0.2735190651382145}",-6.372838246105036,0.0957682312624974,0.2645,16.745676492210073,20.648163929372927,
"('fall', 1, 15)",52,norm,1,2,"{'loc': 0.5856538461538462, 'scale': 0.36940606616023014}",-22.000146662530653,0.1996826139960271,0.0002,48.00029332506131,51.90278076222416,
"('fall', 1, 16)",52,norm,1,2,"{'loc': 0.7332115384615384, 'scale': 0.46937484350252284}",-34.4544170528558,0.2049013321094893,0.0001,72.9088341057116,76.81132154287447,
"('fall', 1, 17)",52,norm,1,2,"{'loc': 0.9087307692307693, 'scale': 0.3474731929552051}",-18.81728023119317,0.0749045315740686,0.6494,41.63456046238633,45.53704789954919,
"('fall', 1, 18)",52,norm,1,2,"{'loc': 0.6158653846153845, 'scale': 0.1774779540855442}",16.118458039356657,0.1074472669362026,0.135,-28.236916078713318,-24.33442864155046,
"('fall', 1, 19)",52,norm,1,2,"{'loc': 0.6613846153846153, 'scale': 0.19576174233826588}",11.019758167770776,0.1582884464919224,0.0021,-18.039516335541556,-14.137028898378698,
"('fall', 1, 20)",52,norm,1,2,"{'loc': 0.6335961538461539, 'scale': 0.3516972725564824}",-19.445610009483765,0.2294616284420116,0.0001,42.89122001896753,46.79370745613039,
"('fall', 1, 21)",52,norm,1,2,"{'loc': 0.5573076923076923, 'scale': 0.33178662851884994}",-16.415117229897653,0.1079382344396244,0.131,36.83023445979531,40.73272189695816,
