combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",732,norm,1,2,"{'loc': 0.5892964480874318, 'scale': 0.1636606831904248}",286.2277132857196,0.1990283903631832,0.0001,-568.4554265714391,-559.2638655435165,
"(1, 1)",732,norm,1,2,"{'loc': 0.5888319672131147, 'scale': 0.16449506209460243}",282.50529377710376,0.2029265976514332,0.0001,-561.0105875542075,-551.8190265262849,
"(1, 2)",732,norm,1,2,"{'loc': 0.6637124316939891, 'scale': 0.6856069244140328}",-762.3690119492896,0.3717162044945866,0.0001,1528.7380238985793,1537.929584926502,
"(1, 3)",732,norm,1,2,"{'loc': 4.45667349726776, 'scale': 7.363722057787912}",-2500.1489664215064,0.2926414857700192,0.0001,5004.297932843013,5013.489493870936,
"(1, 4)",732,norm,1,2,"{'loc': 12.7285587431694, 'scale': 12.569547001505343}",-2891.557758510642,0.1882281436565218,0.0001,5787.115517021284,5796.307078049207,
"(1, 5)",732,norm,1,2,"{'loc': 15.454405737704919, 'scale': 12.241762290514115}",-2872.2155814288003,0.1924027036275082,0.0001,5748.431162857601,5757.622723885524,
"(1, 6)",732,norm,1,2,"{'loc': 14.074142759562841, 'scale': 10.852027861183668}",-2784.008642615117,0.195604541404845,0.0001,5572.017285230234,5581.208846258157,
"(1, 7)",732,norm,1,2,"{'loc': 13.881482240437157, 'scale': 10.686262943570972}",-2772.741052568334,0.191838167205911,0.0001,5549.482105136668,5558.673666164591,
"(1, 8)",732,norm,1,2,"{'loc': 12.583753415300547, 'scale': 9.510238747070767}",-2687.397100461236,0.1850716327950429,0.0001,5378.794200922471,5387.985761950394,
"(1, 9)",732,norm,1,2,"{'loc': 11.200027322404368, 'scale': 8.201630425212242}",-2579.0347380390203,0.1864190992985488,0.0001,5162.069476078041,5171.261037105964,
"(1, 10)",732,norm,1,2,"{'loc': 11.489354508196723, 'scale': 8.55923575657823}",-2610.2749890544583,0.1902820515370765,0.0001,5224.549978108917,5233.74153913684,
"(1, 11)",732,norm,1,2,"{'loc': 9.74985655737705, 'scale': 7.5403133674643}",-2517.4960653238445,0.1834631169251157,0.0001,5038.992130647689,5048.183691675612,
"(1, 12)",732,norm,1,2,"{'loc': 7.284931693989071, 'scale': 6.191691933946418}",-2373.2515425008573,0.1570711993176977,0.0001,4750.503085001715,4759.694646029638,
"(1, 13)",732,norm,1,2,"{'loc': 4.70701844262295, 'scale': 4.401574534549894}",-2123.4594286984257,0.1861535407277978,0.0001,4250.918857396851,4260.110418424774,
"(1, 14)",732,norm,1,2,"{'loc': 2.663329918032787, 'scale': 2.9519986548374795}",-1831.0401604815656,0.2407093335454607,0.0001,3666.080320963132,3675.271881991054,
"(1, 15)",732,norm,1,2,"{'loc': 1.5088217213114754, 'scale': 2.038734591088919}",-1560.08806628072,0.2908182518389349,0.0001,3124.17613256144,3133.3676935893623,
"(1, 16)",732,norm,1,2,"{'loc': 0.7815778688524591, 'scale': 0.709845347065577}",-787.8006377918415,0.2964177296341209,0.0001,1579.601275583683,1588.7928366116057,
"(1, 17)",732,norm,1,2,"{'loc': 0.6418784153005465, 'scale': 0.398153018403924}",-364.5503867056904,0.3003991221654696,0.0001,733.1007734113807,742.2923344393033,
"(1, 18)",732,norm,1,2,"{'loc': 0.6261407103825136, 'scale': 0.3266306506997537}",-219.60971962834685,0.2890462867734779,0.0001,443.2194392566937,452.4110002846163,
"(1, 19)",732,norm,1,2,"{'loc': 0.6150956284153005, 'scale': 0.3145877383023357}",-192.1106685933108,0.2898785917502131,0.0001,388.2213371866216,397.41289821454416,
"(1, 20)",732,norm,1,2,"{'loc': 0.5959084699453553, 'scale': 0.1852340155839443}",195.5880363506352,0.2176261045034163,0.0001,-387.1760727012704,-377.9845116733478,
"(1, 21)",732,norm,1,2,"{'loc': 0.5849316939890711, 'scale': 0.15431734956901222}",329.2576642325073,0.1806752016931676,0.0001,-654.5153284650146,-645.323767437092,
"(1, 22)",732,norm,1,2,"{'loc': 0.5806489071038251, 'scale': 0.15125495868277503}",343.93010097827187,0.1713799162764281,0.0001,-683.8602019565437,-674.6686409286211,
"(1, 23)",732,norm,1,2,"{'loc': 0.5783674863387979, 'scale': 0.15777022376134023}",313.0596015029331,0.1741021752545796,0.0001,-622.1192030058662,-612.9276419779436,
"(2, 0)",728,norm,1,2,"{'loc': 0.5838701923076923, 'scale': 0.15196210751283767}",338.655079445208,0.1775519518960513,0.0001,-673.310158890416,-664.1295567940226,
"(2, 1)",728,norm,1,2,"{'loc': 0.5815453296703297, 'scale': 0.1515003332247128}",340.8706547263507,0.1703019984368746,0.0001,-677.7413094527014,-668.5607073563081,
"(2, 2)",728,norm,1,2,"{'loc': 0.6954773351648351, 'scale': 1.1910574405765613}",-1160.2718773307283,0.4034023109199907,0.0001,2324.5437546614567,2333.72435675785,
"(2, 3)",728,norm,1,2,"{'loc': 4.7179739010989, 'scale': 7.682473905212038}",-2517.336750341678,0.304552823657518,0.0001,5038.673500683356,5047.854102779749,
"(2, 4)",728,norm,1,2,"{'loc': 13.536102335164836, 'scale': 13.15404538100258}",-2908.846215224237,0.1913228574046868,0.0001,5821.692430448474,5830.873032544867,
"(2, 5)",728,norm,1,2,"{'loc': 15.90064217032967, 'scale': 11.419317646562689}",-2805.89034901344,0.1702788189370159,0.0001,5615.78069802688,5624.961300123273,
"(2, 6)",728,norm,1,2,"{'loc': 14.000034340659342, 'scale': 9.68817415053391}",-2686.206807062264,0.1687788915488076,0.0001,5376.413614124528,5385.594216220921,
"(2, 7)",728,norm,1,2,"{'loc': 13.619677197802197, 'scale': 9.447304670537997}",-2667.87831417632,0.1599268586590596,0.0001,5339.756628352639,5348.9372304490325,
"(2, 8)",728,norm,1,2,"{'loc': 12.737276785714284, 'scale': 9.156680021779758}",-2645.1313638969964,0.1494910884891526,0.0001,5294.262727793993,5303.443329890386,
"(2, 9)",728,norm,1,2,"{'loc': 11.865600961538464, 'scale': 8.160004798081347}",-2561.2374352515358,0.1506017302957699,0.0001,5126.474870503071,5135.655472599464,
"(2, 10)",728,norm,1,2,"{'loc': 11.867802197802195, 'scale': 8.018664375063516}",-2548.5171744317263,0.1626144321375809,0.0001,5101.034348863453,5110.214950959846,
"(2, 11)",728,norm,1,2,"{'loc': 9.539453983516482, 'scale': 7.084134033099085}",-2458.3076142973587,0.1402103081309515,0.0001,4920.615228594717,4929.795830691111,
"(2, 12)",728,norm,1,2,"{'loc': 6.7019402472527485, 'scale': 5.1427978139617245}",-2225.158052473588,0.1294137704934607,0.0001,4454.316104947176,4463.496707043569,
"(2, 13)",728,norm,1,2,"{'loc': 4.368980082417583, 'scale': 4.032644106664773}",-2048.1266623214183,0.1836565006285481,0.0001,4100.253324642837,4109.43392673923,
"(2, 14)",728,norm,1,2,"{'loc': 2.637321428571428, 'scale': 3.055168546002965}",-1846.042958648952,0.2847421076806552,0.0001,3696.085917297904,3705.2665193942976,
"(2, 15)",728,norm,1,2,"{'loc': 1.29426510989011, 'scale': 1.6922716651022538}",-1415.9675275721456,0.2879244875741879,0.0001,2835.9350551442917,2845.1156572406844,
"(2, 16)",728,norm,1,2,"{'loc': 0.7232108516483517, 'scale': 0.6251662151334872}",-691.0181917297733,0.3359437708777867,0.0001,1386.0363834595466,1395.21698555594,
"(2, 17)",728,norm,1,2,"{'loc': 0.6570535714285713, 'scale': 0.5854687294118389}",-643.2579080093244,0.3739640102802725,0.0001,1290.5158160186488,1299.6964181150422,
"(2, 18)",728,norm,1,2,"{'loc': 0.656092032967033, 'scale': 0.5838872810008353}",-641.288798285904,0.3759140360891959,0.0001,1286.577596571808,1295.7581986682014,
"(2, 19)",728,norm,1,2,"{'loc': 0.6678125, 'scale': 0.6055071325568895}",-667.7577064422372,0.3746243398640249,0.0001,1339.5154128844745,1348.696014980868,
"(2, 20)",728,norm,1,2,"{'loc': 0.6620398351648352, 'scale': 0.5904225831638411}",-649.3918539424856,0.36951525448674,0.0001,1302.7837078849711,1311.9643099813643,
"(2, 21)",728,norm,1,2,"{'loc': 0.6571703296703296, 'scale': 0.5849194651749509}",-642.574605844009,0.3724331477802935,0.0001,1289.149211688018,1298.3298137844115,
