combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",164,norm,1,2,"{'loc': 0.6019207317073172, 'scale': 0.16197772485957482}",65.82269902202616,0.2875548089534785,0.0001,-127.64539804405231,-121.44566518840392,
"('fall', 1, 1)",164,norm,1,2,"{'loc': 0.6010365853658536, 'scale': 0.16276875113005518}",65.02374614942191,0.2740196020428151,0.0001,-126.04749229884382,-119.84775944319544,
"('fall', 1, 2)",164,norm,1,2,"{'loc': 0.7898780487804876, 'scale': 1.1740851006390187}",-259.02614931915474,0.4443891807745307,0.0001,522.0522986383095,528.2520314939579,
"('fall', 1, 3)",164,norm,1,2,"{'loc': 4.839329268292683, 'scale': 7.639970006453509}",-566.182482525038,0.2803163846738377,0.0001,1136.364965050076,1142.5646979057244,
"('fall', 1, 4)",164,norm,1,2,"{'loc': 14.605076219512195, 'scale': 11.254846548941801}",-629.7169292434929,0.1055538813504641,0.0003,1263.433858486986,1269.6335913426342,
"('fall', 1, 5)",164,norm,1,2,"{'loc': 20.402621951219512, 'scale': 9.071386726943244}",-594.3464430705508,0.0582500426008104,0.1921,1192.6928861411016,1198.89261899675,
"('fall', 1, 6)",164,norm,1,2,"{'loc': 18.743780487804877, 'scale': 8.7192214139004}",-587.8528306777636,0.1100356274612408,0.0002,1179.7056613555271,1185.9053942111757,
"('fall', 1, 7)",164,norm,1,2,"{'loc': 19.43577743902439, 'scale': 9.214915887559467}",-596.9209674277158,0.0637936755639547,0.1021,1197.8419348554316,1204.04166771108,
"('fall', 1, 8)",164,norm,1,2,"{'loc': 16.944679878048778, 'scale': 7.2385998372140055}",-557.3320778329226,0.086679681097199,0.0046,1118.664155665845,1124.8638885214934,
"('fall', 1, 9)",164,norm,1,2,"{'loc': 14.957774390243902, 'scale': 5.67762115794323}",-517.4972223505199,0.1016268648129635,0.0003,1038.9944447010398,1045.194177556688,
"('fall', 1, 10)",164,norm,1,2,"{'loc': 15.36164634146341, 'scale': 5.576058116521749}",-514.5369831932704,0.1178335768393026,0.0002,1033.0739663865409,1039.2736992421892,
"('fall', 1, 11)",164,norm,1,2,"{'loc': 13.576463414634146, 'scale': 5.030764068356455}",-497.65970691824594,0.0891639291816273,0.0032,999.319413836492,1005.5191466921405,
"('fall', 1, 12)",164,norm,1,2,"{'loc': 11.392103658536584, 'scale': 5.482724628787093}",-511.7686757246714,0.053368616848805,0.3129,1027.5373514493429,1033.7370843049912,
"('fall', 1, 13)",164,norm,1,2,"{'loc': 7.620076219512194, 'scale': 4.493416206977671}",-479.1344941405656,0.0577448740302933,0.2071,962.2689882811312,968.4687211367795,
"('fall', 1, 14)",164,norm,1,2,"{'loc': 3.9725, 'scale': 3.395726106841205}",-433.1988080597007,0.1653029991497086,0.0001,870.3976161194014,876.5973489750498,
"('fall', 1, 15)",164,norm,1,2,"{'loc': 1.9591768292682927, 'scale': 2.2622384316822552}",-366.5881033003553,0.2959986387411909,0.0001,737.1762066007107,743.3759394563591,
"('fall', 1, 16)",164,norm,1,2,"{'loc': 0.9082317073170731, 'scale': 0.7915069842192276}",-194.36000103557885,0.2651493124361582,0.0001,392.7200020711577,398.9197349268061,
"('fall', 1, 17)",164,norm,1,2,"{'loc': 0.7280945121951219, 'scale': 0.7248441728460734}",-179.930952123108,0.4505772829059044,0.0001,363.861904246216,370.0616371018644,
"('fall', 1, 18)",164,norm,1,2,"{'loc': 0.6761890243902439, 'scale': 0.5515379309438109}",-135.11859440573275,0.4427972289858278,0.0001,274.2371888114655,280.4369216671139,
"('fall', 1, 19)",164,norm,1,2,"{'loc': 0.6816158536585366, 'scale': 0.5638336996368898}",-138.7345869643815,0.4464084444379836,0.0001,281.469173928763,287.6689067844114,
"('fall', 1, 20)",164,norm,1,2,"{'loc': 0.6086432926829269, 'scale': 0.21371591701770648}",20.36373292861226,0.3642320399035605,0.0001,-36.72746585722452,-30.527733001576127,
"('fall', 1, 21)",164,norm,1,2,"{'loc': 0.5956707317073171, 'scale': 0.1572714411981329}",70.65833538913857,0.3115268775359292,0.0001,-137.31667077827714,-131.11693792262875,
"('fall', 1, 22)",164,norm,1,2,"{'loc': 0.5974237804878049, 'scale': 0.15489951103813807}",73.15058541816587,0.3132777019886678,0.0001,-142.30117083633175,-136.10143798068336,
"('fall', 1, 23)",164,norm,1,2,"{'loc': 0.5896341463414634, 'scale': 0.18203566972859894}",46.6767108229661,0.3205338332682759,0.0001,-89.3534216459322,-83.15368879028381,
"('fall', 2, 0)",160,norm,1,2,"{'loc': 0.60196875, 'scale': 0.16225303047535816}",63.94555400855478,0.3237339019303251,0.0001,-123.89110801710956,-117.74076038664192,
"('fall', 2, 1)",160,norm,1,2,"{'loc': 0.5999531250000001, 'scale': 0.16261425595634096}",63.58974039979776,0.3194506513920111,0.0001,-123.17948079959552,-117.02913316912787,
"('fall', 2, 2)",160,norm,1,2,"{'loc': 1.073265625, 'scale': 2.466740827946029}",-371.49380954852114,0.4477172479066966,0.0001,746.9876190970423,753.1379667275099,
"('fall', 2, 3)",160,norm,1,2,"{'loc': 5.9001093749999995, 'scale': 9.16624425263557}",-581.514586658662,0.2918291692022018,0.0001,1167.029173317324,1173.1795209477916,
"('fall', 2, 4)",160,norm,1,2,"{'loc': 15.620531249999999, 'scale': 11.696251677846345}",-620.5131126822874,0.1240037578108084,0.0001,1245.0262253645749,1251.1765729950423,
"('fall', 2, 5)",160,norm,1,2,"{'loc': 21.6885625, 'scale': 8.919791203895624}",-577.1537715020172,0.0573021561089434,0.2253,1158.3075430040344,1164.457890634502,
"('fall', 2, 6)",160,norm,1,2,"{'loc': 18.225390625, 'scale': 6.738736583800379}",-532.289758413301,0.1027456798524124,0.0004,1068.579516826602,1074.7298644570697,
"('fall', 2, 7)",160,norm,1,2,"{'loc': 17.641515625, 'scale': 7.324626148186224}",-545.6289038424088,0.0569546562789857,0.2287,1095.2578076848176,1101.4081553152853,
"('fall', 2, 8)",160,norm,1,2,"{'loc': 16.182843749999996, 'scale': 7.177968361849398}",-542.3927869223928,0.066678248800016,0.0841,1088.7855738447856,1094.9359214752533,
"('fall', 2, 9)",160,norm,1,2,"{'loc': 14.633375000000001, 'scale': 5.783096895533136}",-507.8204587963144,0.0719381056521747,0.0434,1019.6409175926289,1025.7912652230966,
"('fall', 2, 10)",160,norm,1,2,"{'loc': 15.17178125, 'scale': 5.678320348782591}",-504.8950414341517,0.0839923509567868,0.0077,1013.7900828683034,1019.9404304987712,
"('fall', 2, 11)",160,norm,1,2,"{'loc': 13.375796875, 'scale': 5.799221387473299}",-508.2659517130383,0.0870513497754534,0.0048,1020.5319034260766,1026.6822510565444,
"('fall', 2, 12)",160,norm,1,2,"{'loc': 9.651703125000001, 'scale': 4.250928256825529}",-458.57214490607726,0.0992879122763498,0.0005,921.1442898121544,927.2946374426222,
"('fall', 2, 13)",160,norm,1,2,"{'loc': 7.647453125, 'scale': 3.9479518470803607}",-446.7416732661393,0.0567728022670906,0.2358,897.4833465322786,903.6336941627462,
"('fall', 2, 14)",160,norm,1,2,"{'loc': 3.678375, 'scale': 2.6955281573144436}",-385.6852312167606,0.1648630604229262,0.0001,775.3704624335212,781.5208100639888,
"('fall', 2, 15)",160,norm,1,2,"{'loc': 1.333328125, 'scale': 1.2915804793049035}",-267.96882870658965,0.2390074152312492,0.0001,539.9376574131793,546.088005043647,
"('fall', 2, 16)",160,norm,1,2,"{'loc': 0.69340625, 'scale': 0.3200837887740295}",-44.76256890576978,0.3291066443390343,0.0001,93.52513781153957,99.6754854420072,
"('fall', 2, 17)",160,norm,1,2,"{'loc': 0.6175312500000001, 'scale': 0.20465042364587838}",26.80215563865893,0.3383068301845734,0.0001,-49.60431127731786,-43.45396364685021,
"('fall', 2, 18)",160,norm,1,2,"{'loc': 0.6128281250000001, 'scale': 0.20566681221452424}",26.009488456369983,0.3535085217600088,0.0001,-48.01897691273997,-41.86862928227232,
"('fall', 2, 19)",160,norm,1,2,"{'loc': 0.62809375, 'scale': 0.20868346385360173}",23.679707021484,0.3472251053789033,0.0001,-43.359414042968,-37.20906641250035,
"('fall', 2, 20)",160,norm,1,2,"{'loc': 0.6277812500000001, 'scale': 0.2094356232197319}",23.104054619487798,0.3468720142057465,0.0001,-42.20810923897559,-36.05776160850793,
"('fall', 2, 21)",160,norm,1,2,"{'loc': 0.6235468750000001, 'scale': 0.20369314234955083}",27.55233416847597,0.3619054690518031,0.0001,-51.10466833695193,-44.95432070648428,
"('fall', 2, 22)",160,norm,1,2,"{'loc': 0.6234843750000001, 'scale': 0.20771583219234727}",24.42332664790412,0.3569847266056969,0.0001,-44.84665329580824,-38.69630566534059,
"('fall', 2, 23)",160,norm,1,2,"{'loc': 0.621703125, 'scale': 0.2114565136800812}",21.567580401472995,0.3549923164564971,0.0001,-39.13516080294599,-32.98481317247834,
"('fall', 3, 0)",160,norm,1,2,"{'loc': 0.621984375, 'scale': 0.2094259447116316}",23.111448763113668,0.3422863114690159,0.0001,-42.222897526227335,-36.07254989575968,
"('fall', 3, 1)",160,norm,1,2,"{'loc': 0.615125, 'scale': 0.21333856601655501}",20.14981283041063,0.3499022427884933,0.0001,-36.29962566082126,-30.14927803035361,
"('fall', 3, 2)",160,norm,1,2,"{'loc': 0.783875, 'scale': 0.8909773338166355}",-208.5603587729917,0.4168248136280831,0.0001,421.1207175459834,427.2710651764511,
"('fall', 3, 3)",160,norm,1,2,"{'loc': 4.418109375, 'scale': 8.290684977859165}",-565.4513801507154,0.3655853602281688,0.0001,1134.9027603014308,1141.0531079318985,
"('fall', 3, 4)",160,norm,1,2,"{'loc': 13.48975, 'scale': 13.2759180567673}",-640.7824407616131,0.1630154120334609,0.0001,1285.5648815232262,1291.7152291536938,
