combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",732,norm,1,2,"{'loc': 3.233958333333333, 'scale': 0.6453177294682633}",-718.0378712027269,0.0926734312139564,0.0001,1440.075742405454,1449.2673034333766,
"(1, 1)",732,norm,1,2,"{'loc': 3.1875307377049182, 'scale': 0.6174857087331008}",-685.7662788119015,0.0878452506779224,0.0001,1375.532557623803,1384.7241186517258,
"(1, 2)",732,norm,1,2,"{'loc': 3.219368169398907, 'scale': 1.613306154239326}",-1388.7680547986029,0.2764034486683318,0.0001,2781.5361095972057,2790.727670625128,
"(1, 3)",732,norm,1,2,"{'loc': 10.131512978142075, 'scale': 13.192924585797464}",-2926.989256494603,0.3069124917568571,0.0001,5857.978512989206,5867.170074017129,
"(1, 4)",732,norm,1,2,"{'loc': 22.122940573770492, 'scale': 19.178841832759097}",-3200.850230643572,0.1915846298655713,0.0001,6405.700461287144,6414.892022315067,
"(1, 5)",732,norm,1,2,"{'loc': 24.30253756830601, 'scale': 17.82144105550096}",-3147.117479720144,0.1763947502158316,0.0001,6298.234959440288,6307.426520468211,
"(1, 6)",732,norm,1,2,"{'loc': 22.847677595628415, 'scale': 15.01379390871443}",-3021.628586938534,0.1822263236931429,0.0001,6047.257173877068,6056.448734904991,
"(1, 7)",732,norm,1,2,"{'loc': 20.050484972677598, 'scale': 13.889396300069174}",-2964.647013511348,0.1608729190778753,0.0001,5933.294027022695,5942.485588050618,
"(1, 8)",732,norm,1,2,"{'loc': 16.69867486338798, 'scale': 12.21073060153437}",-2870.357676091471,0.1604601389479823,0.0001,5744.715352182942,5753.906913210865,
"(1, 9)",732,norm,1,2,"{'loc': 13.637322404371586, 'scale': 10.803174948652456}",-2780.70593582896,0.1426738488826562,0.0001,5565.41187165792,5574.603432685843,
"(1, 10)",732,norm,1,2,"{'loc': 11.367745901639342, 'scale': 8.551874487401902}",-2609.6451702650675,0.1381185133106657,0.0001,5223.290340530135,5232.481901558058,
"(1, 11)",732,norm,1,2,"{'loc': 9.282677595628416, 'scale': 6.56807894937805}",-2416.449065531742,0.135986153074985,0.0001,4836.898131063484,4846.089692091407,
"(1, 12)",732,norm,1,2,"{'loc': 6.742984972677595, 'scale': 4.050116622879789}",-2062.544841486724,0.1797754139118373,0.0001,4129.089682973448,4138.281244001371,
"(1, 13)",732,norm,1,2,"{'loc': 5.16650956284153, 'scale': 2.9085315624272208}",-1820.181588329868,0.2180649378040308,0.0001,3644.363176659736,3653.554737687658,
"(1, 14)",732,norm,1,2,"{'loc': 5.475976775956284, 'scale': 2.2207828047456792}",-1622.6963421935634,0.1991609392685278,0.0001,3249.392684387127,3258.5842454150493,
"(1, 15)",732,norm,1,2,"{'loc': 4.646277322404371, 'scale': 1.6641192731280139}",-1411.467691769306,0.0987953159764044,0.0001,2826.935383538612,2836.1269445665343,
"(1, 16)",732,norm,1,2,"{'loc': 3.5677493169398904, 'scale': 1.0697878860983157}",-1088.044012906448,0.1764559742694124,0.0001,2180.088025812896,2189.2795868408184,
"(1, 17)",732,norm,1,2,"{'loc': 3.4056284153005474, 'scale': 0.8523354875710025}",-921.707658796737,0.1556803482860416,0.0001,1847.415317593474,1856.6068786213968,
"(1, 18)",732,norm,1,2,"{'loc': 3.3365881147540986, 'scale': 0.8075173808941654}",-882.1682140596644,0.1433419675737284,0.0001,1768.3364281193287,1777.5279891472514,
"(1, 19)",732,norm,1,2,"{'loc': 3.3493647540983607, 'scale': 0.8566763215026433}",-925.4261787674473,0.1615687061998357,0.0001,1854.8523575348945,1864.0439185628168,
"(1, 20)",732,norm,1,2,"{'loc': 3.2876571038251368, 'scale': 0.7891457081420666}",-865.3222581676528,0.1414872189779571,0.0001,1734.6445163353055,1743.8360773632282,
"(1, 21)",732,norm,1,2,"{'loc': 3.3060314207650277, 'scale': 0.7537448481707075}",-831.7256064705573,0.092515156935507,0.0001,1667.4512129411146,1676.6427739690373,
