combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",164,norm,1,2,"{'loc': 3.1283079268292684, 'scale': 0.39651424558187126}",-80.99881656865037,0.0576368350850246,0.1977,165.99763313730074,172.19736599294913,
"('fall', 1, 1)",164,norm,1,2,"{'loc': 3.1500609756097564, 'scale': 0.35538828722484533}",-63.04065089942491,0.0418552014935077,0.6958,130.08130179884984,136.28103465449823,
"('fall', 1, 2)",164,norm,1,2,"{'loc': 3.492347560975609, 'scale': 2.8041051909449286}",-401.80377466921306,0.4050989260677577,0.0001,807.6075493384261,813.8072821940746,
"('fall', 1, 3)",164,norm,1,2,"{'loc': 11.871981707317074, 'scale': 14.315409677278675}",-669.1651147741582,0.2537993082200307,0.0001,1342.3302295483163,1348.5299624039646,
"('fall', 1, 4)",164,norm,1,2,"{'loc': 29.103597560975608, 'scale': 19.37872339949514}",-718.8307395319237,0.0830705900445398,0.0066,1441.6614790638473,1447.8612119194956,
"('fall', 1, 5)",164,norm,1,2,"{'loc': 33.59713414634146, 'scale': 14.848521848509476}",-675.1615721672171,0.0482899058489985,0.4736,1354.323144334434,1360.5228771900825,
"('fall', 1, 6)",164,norm,1,2,"{'loc': 29.958810975609754, 'scale': 11.897003934850789}",-638.8169215565072,0.0598803336683093,0.1607,1281.6338431130143,1287.833575968663,
"('fall', 1, 7)",164,norm,1,2,"{'loc': 26.352865853658535, 'scale': 11.421095480286015}",-632.1217081254895,0.070879890239232,0.0442,1268.243416250979,1274.4431491066273,
"('fall', 1, 8)",164,norm,1,2,"{'loc': 22.58951219512195, 'scale': 10.730101769536363}",-621.8866181985898,0.0793483931536275,0.0153,1247.7732363971795,1253.972969252828,
"('fall', 1, 9)",164,norm,1,2,"{'loc': 19.760548780487802, 'scale': 11.146701124731203}",-628.1334683494194,0.1012782736785439,0.0002,1260.266936698839,1266.4666695544872,
"('fall', 1, 10)",164,norm,1,2,"{'loc': 15.178399390243905, 'scale': 8.094000864306976}",-575.6501165764887,0.0887698696421086,0.0032,1155.3002331529774,1161.4999660086255,
"('fall', 1, 11)",164,norm,1,2,"{'loc': 12.174999999999999, 'scale': 5.761557393410308}",-519.9040017553178,0.1139169656768314,0.0001,1043.8080035106357,1050.007736366284,
"('fall', 1, 12)",164,norm,1,2,"{'loc': 9.070945121951219, 'scale': 3.6243567057513784}",-443.884916626077,0.0966014757780197,0.0011,891.7698332521541,897.9695661078025,
"('fall', 1, 13)",164,norm,1,2,"{'loc': 6.542240853658536, 'scale': 3.298317505993499}",-428.4255680987641,0.2076929605307006,0.0001,860.8511361975281,867.0508690531766,
"('fall', 1, 14)",164,norm,1,2,"{'loc': 5.740975609756097, 'scale': 2.1498936359147116}",-358.23453200227635,0.1900010873203439,0.0001,720.4690640045527,726.6687968602012,
"('fall', 1, 15)",164,norm,1,2,"{'loc': 4.6813262195121945, 'scale': 1.511422374214419}",-300.44631249492363,0.1151023068709646,0.0001,604.8926249898473,611.0923578454957,
"('fall', 1, 16)",164,norm,1,2,"{'loc': 3.5016463414634145, 'scale': 0.8971972551004521}",-214.91527558300845,0.1445145048796012,0.0001,433.8305511660169,440.0302840216653,
"('fall', 1, 17)",164,norm,1,2,"{'loc': 3.411173780487805, 'scale': 0.88461160106533}",-212.59843718364408,0.1784421270123003,0.0001,429.19687436728816,435.39660722293655,
"('fall', 1, 18)",164,norm,1,2,"{'loc': 3.2097103658536588, 'scale': 0.550828948441646}",-134.9076425918476,0.0918718241461281,0.0015,273.8152851836952,280.0150180393436,
"('fall', 1, 19)",164,norm,1,2,"{'loc': 3.1902439024390246, 'scale': 0.5710995238321919}",-140.83446636366713,0.0770694412979575,0.019,285.66893272733427,291.86866558298266,
"('fall', 1, 20)",164,norm,1,2,"{'loc': 3.598353658536585, 'scale': 0.8929171857095124}",-214.1310433555296,0.1732860311207867,0.0001,432.2620867110592,438.4618195667076,
"('fall', 1, 21)",164,norm,1,2,"{'loc': 3.427195121951219, 'scale': 0.6740694681581668}",-168.02069424244286,0.0992893323865099,0.0003,340.0413884848857,346.2411213405341,
"('fall', 1, 22)",164,norm,1,2,"{'loc': 4.220640243902439, 'scale': 0.995984798145296}",-232.0461008006293,0.0927700609644843,0.0019,468.0922016012586,474.291934456907,
"('fall', 1, 23)",164,norm,1,2,"{'loc': 3.8112957317073173, 'scale': 1.0834847191484167}",-245.8558393863133,0.110374936340449,0.0001,495.7116787726266,501.9114116282751,
"('fall', 2, 0)",160,norm,1,2,"{'loc': 3.1942812500000004, 'scale': 0.5030018783746613}",-117.08434538537038,0.0700518642496514,0.0549,238.1686907707408,244.3190384012084,
"('fall', 2, 1)",160,norm,1,2,"{'loc': 3.2401562499999996, 'scale': 0.5523611736997248}",-132.06166187508052,0.1092696822448766,0.0001,268.12332375016103,274.2736713806287,
"('fall', 2, 2)",160,norm,1,2,"{'loc': 3.834171875, 'scale': 2.8635027135959703}",-395.3574613929706,0.3568316524571024,0.0001,794.7149227859412,800.8652704164089,
"('fall', 2, 3)",160,norm,1,2,"{'loc': 13.045984375, 'scale': 15.87211220313221}",-669.3603444755142,0.3085717481518079,0.0001,1342.7206889510285,1348.871036581496,
"('fall', 2, 4)",160,norm,1,2,"{'loc': 26.981609375000005, 'scale': 16.251407262014254}",-673.1388862352208,0.0874674503660037,0.0055,1350.2777724704415,1356.4281201009092,
"('fall', 2, 5)",160,norm,1,2,"{'loc': 32.787078125, 'scale': 14.299739369406666}",-652.6687751022116,0.0521334158604352,0.358,1309.3375502044232,1315.4878978348909,
"('fall', 2, 6)",160,norm,1,2,"{'loc': 26.58621875, 'scale': 12.665323543746265}",-633.2490180193121,0.0474745065587928,0.5142,1270.4980360386242,1276.6483836690918,
"('fall', 2, 7)",160,norm,1,2,"{'loc': 23.595, 'scale': 10.658869058646655}",-605.6529366807675,0.0657164958410156,0.092,1215.305873361535,1221.4562209920027,
"('fall', 2, 8)",160,norm,1,2,"{'loc': 21.147437500000002, 'scale': 10.106980689996828}",-597.146380118083,0.04401775805875,0.6392,1198.292760236166,1204.4431078666337,
"('fall', 2, 9)",160,norm,1,2,"{'loc': 20.521546875, 'scale': 11.12634469005276}",-612.5206759949828,0.0918384016753988,0.0012,1229.0413519899655,1235.1916996204332,
"('fall', 2, 10)",160,norm,1,2,"{'loc': 17.923328125, 'scale': 9.841537381179146}",-592.8880751983475,0.1497570949629844,0.0001,1189.776150396695,1195.9264980271626,
"('fall', 2, 11)",160,norm,1,2,"{'loc': 12.28378125, 'scale': 5.458453728703619}",-498.5766532770716,0.1268233115763988,0.0001,1001.1533065541432,1007.3036541846108,
"('fall', 2, 12)",160,norm,1,2,"{'loc': 8.724515625, 'scale': 3.8631662299295844}",-443.268103562812,0.116318439680068,0.0001,890.536207125624,896.6865547560916,
"('fall', 2, 13)",160,norm,1,2,"{'loc': 6.1937500000000005, 'scale': 3.3402633223295433}",-419.9981081770353,0.2450742895478888,0.0001,843.9962163540706,850.1465639845383,
"('fall', 2, 14)",160,norm,1,2,"{'loc': 5.674796875, 'scale': 2.03503032785822}",-340.7118808180181,0.2197074160955363,0.0001,685.4237616360361,691.5741092665038,
"('fall', 2, 15)",160,norm,1,2,"{'loc': 4.507, 'scale': 1.100593973157222}",-242.36616685953743,0.1483530337273963,0.0001,488.73233371907486,494.8826813495425,
"('fall', 2, 16)",160,norm,1,2,"{'loc': 3.4491406249999996, 'scale': 0.7414195130201993}",-179.15997819936754,0.1371056386227038,0.0001,362.3199563987351,368.47030402920274,
"('fall', 2, 17)",160,norm,1,2,"{'loc': 3.4146875000000008, 'scale': 0.5812208157995978}",-140.2102400778452,0.0957738030194031,0.0009,284.4204801556904,290.5708277861581,
"('fall', 2, 18)",160,norm,1,2,"{'loc': 3.32571875, 'scale': 0.49518986159193273}",-114.57992032367127,0.0965224306869438,0.001,233.15984064734252,239.3101882778102,
