combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",732,norm,1,2,"{'loc': 1.321174863387978, 'scale': 2.642236343640043}",-1749.892988280445,0.33455864155031,0.0001,3503.78597656089,3512.9775375888125,
"(1, 1)",732,norm,1,2,"{'loc': 0.867127732240437, 'scale': 1.7211549537262434}",-1436.1357490558255,0.3073199261930487,0.0001,2876.2714981116515,2885.463059139574,
"(1, 2)",732,norm,1,2,"{'loc': 0.5537773224043715, 'scale': 1.017289903393244}",-1051.2110482931184,0.2932230287426566,0.0001,2106.422096586237,2115.61365761416,
"(1, 3)",732,norm,1,2,"{'loc': 0.4792554644808743, 'scale': 0.8807453021145871}",-945.7086718276702,0.2932978775806937,0.0001,1895.4173436553403,1904.608904683263,
"(1, 4)",732,norm,1,2,"{'loc': 0.5533606557377049, 'scale': 1.0370135605231303}",-1065.267550586299,0.2969319133584351,0.0001,2134.535101172598,2143.7266622005204,
"(1, 5)",732,norm,1,2,"{'loc': 0.7271516393442623, 'scale': 1.4525997744519135}",-1311.9587923137474,0.3084515286126137,0.0001,2627.9175846274948,2637.1091456554173,
"(1, 6)",732,norm,1,2,"{'loc': 0.7301468579234972, 'scale': 1.3860043583024175}",-1277.60613945159,0.2992913102726257,0.0001,2559.21227890318,2568.4038399311025,
"(1, 7)",732,norm,1,2,"{'loc': 1.038613387978142, 'scale': 1.5930082486214419}",-1379.4999272622283,0.2573499716648945,0.0001,2762.999854524457,2772.19141555238,
"(1, 8)",732,norm,1,2,"{'loc': 1.903063524590164, 'scale': 2.389544735314906}",-1676.3103001789864,0.2266154137876829,0.0001,3356.6206003579728,3365.8121613858957,
"(1, 9)",732,norm,1,2,"{'loc': 2.5790539617486337, 'scale': 2.743495652068992}",-1777.4214837650732,0.1876907084418987,0.0001,3558.8429675301463,3568.034528558069,
"(1, 10)",732,norm,1,2,"{'loc': 2.8471755464480877, 'scale': 2.935467400293551}",-1826.9294242107496,0.1733213766707789,0.0001,3657.8588484215,3667.050409449422,
"(1, 11)",732,norm,1,2,"{'loc': 3.0797882513661197, 'scale': 3.128741941010988}",-1873.604889503512,0.1683813190965845,0.0001,3751.209779007024,3760.4013400349454,
"(1, 12)",732,norm,1,2,"{'loc': 3.703982240437159, 'scale': 4.157122238565831}",-2081.633490116161,0.1866288190687062,0.0001,4167.266980232322,4176.458541260245,
"(1, 13)",732,norm,1,2,"{'loc': 4.159043715846995, 'scale': 4.956224808451899}",-2210.334651184038,0.2008519033702911,0.0001,4424.669302368077,4433.860863396,
"(1, 14)",732,norm,1,2,"{'loc': 4.393374316939891, 'scale': 5.128269625819747}",-2235.3133999836987,0.2103043560819104,0.0001,4474.626799967397,4483.81836099532,
"(1, 15)",732,norm,1,2,"{'loc': 4.244067622950819, 'scale': 5.367891704283046}",-2268.741591117076,0.2267988386335854,0.0001,4541.483182234151,4550.674743262074,
"(1, 16)",732,norm,1,2,"{'loc': 3.6274726775956285, 'scale': 5.132251177689263}",-2235.88149904428,0.2541280490865889,0.0001,4475.76299808856,4484.954559116482,
"(1, 17)",732,norm,1,2,"{'loc': 2.6612260928961753, 'scale': 4.027792247681149}",-2058.4988725333856,0.2553633728186039,0.0001,4120.997745066771,4130.189306094694,
"(1, 18)",732,norm,1,2,"{'loc': 2.099330601092896, 'scale': 3.40686922295455}",-1935.9440335990048,0.2690184877427157,0.0001,3875.888067198009,3885.079628225932,
"(1, 19)",732,norm,1,2,"{'loc': 1.9567691256830602, 'scale': 3.2271139651977965}",-1896.265589634116,0.2722778495297769,0.0001,3796.531179268232,3805.722740296155,
"(1, 20)",732,norm,1,2,"{'loc': 1.9781864754098362, 'scale': 3.277249201325757}",-1907.5502361776305,0.2731880191928347,0.0001,3819.100472355261,3828.292033383183,
"(1, 21)",732,norm,1,2,"{'loc': 1.9977698087431695, 'scale': 3.328012415325575}",-1918.8016918814228,0.2742934408108174,0.0001,3841.6033837628456,3850.794944790768,
"(1, 22)",732,norm,1,2,"{'loc': 1.8777390710382516, 'scale': 3.2070345687174724}",-1891.6967905577767,0.2809972204948192,0.0001,3787.3935811155534,3796.585142143476,
"(1, 23)",732,norm,1,2,"{'loc': 1.6128927595628415, 'scale': 2.8759118311286453}",-1811.925687182622,0.2875879398852086,0.0001,3627.851374365244,3637.042935393167,
"(2, 0)",728,norm,1,2,"{'loc': 1.5375068681318682, 'scale': 2.98100670845135}",-1828.153307563184,0.3031321178697312,0.0001,3660.306615126368,3669.4872172227615,
"(2, 1)",728,norm,1,2,"{'loc': 1.509642857142857, 'scale': 3.2694788273353343}",-1895.398323285168,0.3222483522939352,0.0001,3794.796646570336,3803.977248666729,
"(2, 2)",728,norm,1,2,"{'loc': 1.275525412087912, 'scale': 3.0317904480894127}",-1840.450892403309,0.3370864724586238,0.0001,3684.901784806618,3694.082386903011,
"(2, 3)",728,norm,1,2,"{'loc': 1.430209478021978, 'scale': 3.069798638966004}",-1849.5207659942191,0.3207592464368108,0.0001,3703.0415319884382,3712.222134084832,
"(2, 4)",728,norm,1,2,"{'loc': 1.5730700549450551, 'scale': 3.157111407514856}",-1869.937910715651,0.3197547346517207,0.0001,3743.875821431302,3753.056423527695,
