combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",164,norm,1,2,"{'loc': 2.3273475609756087, 'scale': 3.12534518453467}",-419.5912561724128,0.2595622998586936,0.0001,843.1825123448256,849.382245200474,
"('fall', 1, 1)",164,norm,1,2,"{'loc': 1.358795731707317, 'scale': 2.081392564013469}",-352.92401559228654,0.2687942259018618,0.0001,709.8480311845731,716.0477640402215,
"('fall', 1, 2)",164,norm,1,2,"{'loc': 0.8009451219512196, 'scale': 1.1878332420894737}",-260.93537761168005,0.2507180151043456,0.0001,525.8707552233601,532.0704880790086,
"('fall', 1, 3)",164,norm,1,2,"{'loc': 0.7330335365853659, 'scale': 1.004165514991054}",-233.38764501875164,0.2554754599436722,0.0001,470.7752900375033,476.9750228931517,
"('fall', 1, 4)",164,norm,1,2,"{'loc': 0.687423780487805, 'scale': 0.9510484596193006}",-224.47471660092503,0.23557806905117,0.0001,452.94943320185007,459.14916605749846,
"('fall', 1, 5)",164,norm,1,2,"{'loc': 0.8153506097560975, 'scale': 1.0911812129856335}",-247.01668918927425,0.2281549794043319,0.0001,498.0333783785485,504.2331112341969,
"('fall', 1, 6)",164,norm,1,2,"{'loc': 0.8022103658536586, 'scale': 1.133122049570044}",-253.20209803636783,0.2401553498041267,0.0001,510.40419607273566,516.6039289283841,
"('fall', 1, 7)",164,norm,1,2,"{'loc': 1.041280487804878, 'scale': 1.2775758440031066}",-272.8800827538091,0.208236540002666,0.0001,549.7601655076182,555.9598983632667,
"('fall', 1, 8)",164,norm,1,2,"{'loc': 2.18484756097561, 'scale': 2.023586974917319}",-348.304872804923,0.1499628193728586,0.0001,700.609745609846,706.8094784654944,
"('fall', 1, 9)",164,norm,1,2,"{'loc': 3.366387195121951, 'scale': 2.8351192232674998}",-403.6076938642912,0.1582016259153834,0.0001,811.2153877285823,817.4151205842307,
"('fall', 1, 10)",164,norm,1,2,"{'loc': 3.983948170731707, 'scale': 3.471958760704574}",-436.839822169817,0.1718029883330028,0.0001,877.679644339634,883.8793771952825,
"('fall', 1, 11)",164,norm,1,2,"{'loc': 4.420045731707317, 'scale': 3.6472262522084993}",-444.91649888456334,0.1232801410770532,0.0001,893.8329977691267,900.0327306247751,
"('fall', 1, 12)",164,norm,1,2,"{'loc': 5.01032012195122, 'scale': 4.587169092832903}",-482.5210643075163,0.1400790968786414,0.0001,969.0421286150328,975.2418614706812,
"('fall', 1, 13)",164,norm,1,2,"{'loc': 5.690685975609757, 'scale': 5.952232161785285}",-525.2435930467727,0.1702596035179001,0.0001,1054.4871860935457,1060.6869189491938,
"('fall', 1, 14)",164,norm,1,2,"{'loc': 5.864786585365854, 'scale': 5.5249180920595}",-513.0259407072467,0.1556292055508312,0.0001,1030.0518814144934,1036.2516142701418,
"('fall', 1, 15)",164,norm,1,2,"{'loc': 5.188368902439024, 'scale': 4.911398743894955}",-493.72155900375367,0.1537022007039734,0.0001,991.4431180075072,997.6428508631558,
"('fall', 1, 16)",164,norm,1,2,"{'loc': 4.050746951219512, 'scale': 4.4677536641297}",-478.1951818425492,0.1830256571936579,0.0001,960.3903636850984,966.5900965407468,
"('fall', 1, 17)",164,norm,1,2,"{'loc': 2.601996951219512, 'scale': 3.1760604765818523}",-422.2311393771224,0.2070352498099891,0.0001,848.4622787542448,854.6620116098933,
"('fall', 1, 18)",164,norm,1,2,"{'loc': 1.9493445121951218, 'scale': 2.3755296884102846}",-374.6020714938683,0.2066534738776245,0.0001,753.2041429877366,759.4038758433851,
"('fall', 1, 19)",164,norm,1,2,"{'loc': 1.8705182926829267, 'scale': 2.609249458066721}",-389.9921884730181,0.2374000393423606,0.0001,783.9843769460363,790.1841098016847,
"('fall', 1, 20)",164,norm,1,2,"{'loc': 1.8980792682926828, 'scale': 2.5850867678619753}",-388.46640746695033,0.2320842745841258,0.0001,780.9328149339007,787.1325477895491,
"('fall', 1, 21)",164,norm,1,2,"{'loc': 2.2931402439024384, 'scale': 2.9577213906728677}",-410.55066356157886,0.2197792353336237,0.0001,825.1013271231577,831.3010599788062,
"('fall', 1, 22)",164,norm,1,2,"{'loc': 2.5591310975609747, 'scale': 3.4419877312774734}",-435.417977317627,0.2297327085656484,0.0001,874.835954635254,881.0356874909024,
"('fall', 1, 23)",164,norm,1,2,"{'loc': 2.2901676829268296, 'scale': 3.3319213348057386}",-430.0879743095056,0.2477747289480906,0.0001,864.1759486190111,870.3756814746596,
"('fall', 2, 0)",160,norm,1,2,"{'loc': 2.479265625, 'scale': 4.086879173006691}",-452.2752277780401,0.27843535738629,0.0001,908.5504555560802,914.700803186548,
"('fall', 2, 1)",160,norm,1,2,"{'loc': 3.1179687499999997, 'scale': 5.130810739325066}",-488.6723550008505,0.2723260707781434,0.0001,981.344710001701,987.4950576321686,
"('fall', 2, 2)",160,norm,1,2,"{'loc': 3.13125, 'scale': 4.857468637315119}",-479.9129566247481,0.2829084290530758,0.0001,963.8259132494962,969.976260879964,
"('fall', 2, 3)",160,norm,1,2,"{'loc': 3.7151875000000003, 'scale': 4.687198094861017}",-474.203762559579,0.2147219694377939,0.0001,952.407525119158,958.5578727496256,
"('fall', 2, 4)",160,norm,1,2,"{'loc': 3.820828125, 'scale': 4.735313040090009}",-475.8378191374149,0.2253535118272615,0.0001,955.6756382748296,961.8259859052972,
"('fall', 2, 5)",160,norm,1,2,"{'loc': 3.5642187499999998, 'scale': 4.366577823610663}",-462.866900607788,0.2286408450924043,0.0001,929.733801215576,935.8841488460436,
"('fall', 2, 6)",160,norm,1,2,"{'loc': 2.419203125, 'scale': 3.0597819490819496}",-405.96515010560086,0.2152983575134848,0.0001,815.9303002112017,822.0806478416694,
"('fall', 2, 7)",160,norm,1,2,"{'loc': 1.7747968749999998, 'scale': 2.1025078212524524}",-345.9310985664168,0.2000363915173272,0.0001,695.8621971328336,702.0125447633012,
"('fall', 2, 8)",160,norm,1,2,"{'loc': 2.43009375, 'scale': 3.048609761118326}",-405.37987262104167,0.2213169419713145,0.0001,814.7597452420833,820.910092872551,
"('fall', 2, 9)",160,norm,1,2,"{'loc': 3.201171875, 'scale': 2.8382588869800944}",-393.9406927056039,0.153154802833445,0.0001,791.8813854112077,798.0317330416754,
"('fall', 2, 10)",160,norm,1,2,"{'loc': 3.6770312499999998, 'scale': 2.7570874604641102}",-389.2981420477923,0.1330294320956441,0.0001,782.5962840955846,788.7466317260522,
"('fall', 2, 11)",160,norm,1,2,"{'loc': 3.813515625, 'scale': 2.7126169660391346}",-386.6963795619168,0.1172131227542451,0.0001,777.3927591238337,783.5431067543013,
