combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",732,norm,1,2,"{'loc': 0.04414275956284153, 'scale': 0.4278729931501266}",-417.2470716986386,0.5130628106329547,0.0001,838.4941433972772,847.6857044251998,
"(1, 1)",732,norm,1,2,"{'loc': 0.02819672131147541, 'scale': 0.2693195792256432}",-78.3839914552969,0.5034117890515502,0.0001,160.7679829105938,169.95954393851642,
"(1, 2)",732,norm,1,2,"{'loc': 0.020362021857923494, 'scale': 0.23107628333863067}",33.72240469044729,0.5009316940486594,0.0001,-63.44480938089458,-54.25324835297196,
"(1, 3)",732,norm,1,2,"{'loc': 0.009535519125683059, 'scale': 0.1339674363851744}",432.7730307839028,0.4982979115657318,0.0001,-861.5460615678056,-852.354500539883,
"(1, 4)",732,norm,1,2,"{'loc': 0.006379781420765027, 'scale': 0.05149034235889655}",1132.7132573399722,0.4659369072876222,0.0001,-2261.4265146799444,-2252.234953652022,
"(1, 5)",732,norm,1,2,"{'loc': 0.03770150273224044, 'scale': 0.25534605397217836}",-39.383762173134414,0.4413498375680514,0.0001,82.76752434626883,91.95908537419145,
"(1, 6)",732,norm,1,2,"{'loc': 1.1197984972677595, 'scale': 3.451185339064572}",-1945.4043982625883,0.3800120895862383,0.0001,3894.808796525177,3904.0003575531,
"(1, 7)",732,norm,1,2,"{'loc': 2.745724043715847, 'scale': 4.113234143742914}",-2073.8644447459687,0.2523611635585985,0.0001,4151.7288894919375,4160.92045051986,
"(1, 8)",732,norm,1,2,"{'loc': 4.953794398907103, 'scale': 4.597720231252985}",-2155.3733499451914,0.1408050114959674,0.0001,4314.746699890383,4323.938260918306,
"(1, 9)",732,norm,1,2,"{'loc': 4.91146174863388, 'scale': 4.672846648140093}",-2167.2375092197717,0.1467795319480234,0.0001,4338.475018439543,4347.666579467465,
"(1, 10)",732,norm,1,2,"{'loc': 4.469911202185792, 'scale': 4.725549929938207}",-2175.4472514558142,0.1723241508975538,0.0001,4354.8945029116285,4364.086063939551,
