combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",164,norm,1,2,"{'loc': 0.001951219512195122, 'scale': 0.012340595746998554}",488.0512819231513,0.5382360048675714,0.0001,-972.1025638463026,-965.902830990654,
"('fall', 1, 1)",164,norm,1,2,"{'loc': 0.0021341463414634144, 'scale': 0.012384354995780403}",487.4707732404047,0.5255196161523538,0.0001,-970.9415464808094,-964.741813625161,
"('fall', 1, 2)",164,norm,1,2,"{'loc': 0.002088414634146341, 'scale': 0.012381380589073787}",487.5101665950303,0.5301854478480478,0.0001,-971.0203331900606,-964.820600334412,
"('fall', 1, 3)",164,norm,1,2,"{'loc': 0.002423780487804878, 'scale': 0.014035081754455635}",466.9501005940309,0.5256640002828226,0.0001,-929.9002011880618,-923.7004683324134,
"('fall', 1, 4)",164,norm,1,2,"{'loc': 0.0031097560975609758, 'scale': 0.013801516439800106}",469.702276724341,0.5156964387795141,0.0001,-935.404553448682,-929.2048205930336,
"('fall', 1, 5)",164,norm,1,2,"{'loc': 0.014801829268292682, 'scale': 0.0659354502086302}",213.2230435536735,0.4114548187590103,0.0001,-422.446087107347,-416.2463542516986,
"('fall', 1, 6)",164,norm,1,2,"{'loc': 0.34312499999999996, 'scale': 1.0308947605070335}",-237.6959678901151,0.3781138143440216,0.0001,479.3919357802302,485.5916686358786,
"('fall', 1, 7)",164,norm,1,2,"{'loc': 2.3115243902439024, 'scale': 3.803984938323295}",-451.8179858255815,0.2723227191597153,0.0001,907.6359716511628,913.8357045068112,
"('fall', 1, 8)",164,norm,1,2,"{'loc': 5.864557926829268, 'scale': 5.203424345457574}",-503.1938970849634,0.1373231104730813,0.0001,1010.3877941699268,1016.5875270255752,
"('fall', 1, 9)",164,norm,1,2,"{'loc': 5.3274542682926835, 'scale': 4.462000778871796}",-477.9838718185512,0.118615443809466,0.0001,959.9677436371024,966.1674764927508,
"('fall', 1, 10)",164,norm,1,2,"{'loc': 4.245442073170731, 'scale': 4.157857716156605}",-466.4059144520569,0.1698059307529015,0.0001,936.8118289041138,943.0115617597622,
"('fall', 1, 11)",164,norm,1,2,"{'loc': 3.6161280487804883, 'scale': 3.3051925761309016}",-428.76705676036863,0.1436887620426807,0.0001,861.5341135207373,867.7338463763857,
"('fall', 1, 12)",164,norm,1,2,"{'loc': 4.201173780487805, 'scale': 4.087621039676704}",-463.6118757074414,0.1998094004641681,0.0001,931.2237514148828,937.4234842705312,
"('fall', 1, 13)",164,norm,1,2,"{'loc': 4.687317073170731, 'scale': 4.54586081796329}",-481.0375252539244,0.1983752912552564,0.0001,966.0750505078488,972.2747833634972,
"('fall', 1, 14)",164,norm,1,2,"{'loc': 6.176966463414634, 'scale': 4.5903284608455275}",-482.6339788294779,0.111956578500922,0.0001,969.2679576589558,975.4676905146042,
"('fall', 1, 15)",164,norm,1,2,"{'loc': 5.228292682926829, 'scale': 3.8076025997508447}",-451.9738788021319,0.085511113586869,0.0056,907.9477576042638,914.1474904599122,
"('fall', 1, 16)",164,norm,1,2,"{'loc': 5.068338414634146, 'scale': 4.052861429668856}",-462.2113172740451,0.106246510485743,0.0003,928.4226345480902,934.6223674037386,
"('fall', 1, 17)",164,norm,1,2,"{'loc': 2.457987804878049, 'scale': 2.5123895570624883}",-383.7883471106463,0.1646910362728451,0.0001,771.5766942212927,777.7764270769411,
"('fall', 1, 18)",164,norm,1,2,"{'loc': 1.3135975609756099, 'scale': 1.6674254059430351}",-316.5559646989096,0.2232600590580128,0.0001,637.1119293978192,643.3116622534676,
"('fall', 1, 19)",164,norm,1,2,"{'loc': 0.9346036585365852, 'scale': 1.4595203631585343}",-294.7156090368841,0.2616084266649033,0.0001,593.4312180737682,599.6309509294166,
"('fall', 1, 20)",164,norm,1,2,"{'loc': 0.5756097560975609, 'scale': 0.9654091734078046}",-226.9325858522895,0.3163874261597353,0.0001,457.865171704579,464.0649045602274,
"('fall', 1, 21)",164,norm,1,2,"{'loc': 0.6060060975609756, 'scale': 1.2325315918721191}",-266.9934419144829,0.3600555443713186,0.0001,537.9868838289658,544.1866166846143,
"('fall', 1, 22)",164,norm,1,2,"{'loc': 1.1090701219512193, 'scale': 2.228031046500088}",-364.0893135382628,0.3335594202031547,0.0001,732.1786270765256,738.378359932174,
"('fall', 1, 23)",164,norm,1,2,"{'loc': 0.891310975609756, 'scale': 1.5821358733012958}",-307.9451428883531,0.3256557462111797,0.0001,619.8902857767062,626.0900186323546,
"('fall', 2, 0)",160,norm,1,2,"{'loc': 0.8519843749999998, 'scale': 1.4556262638700772}",-287.0999621003241,0.3171715160065531,0.0001,578.1999242006482,584.3502718311158,
"('fall', 2, 1)",160,norm,1,2,"{'loc': 0.63678125, 'scale': 1.1561010170064885}",-250.23866953451608,0.3467755601300311,0.0001,504.47733906903215,510.6276866994998,
"('fall', 2, 2)",160,norm,1,2,"{'loc': 0.37653125, 'scale': 0.8332165641497038}",-197.8362949715544,0.3287953091028198,0.0001,399.6725899431088,405.8229375735765,
"('fall', 2, 3)",160,norm,1,2,"{'loc': 0.093296875, 'scale': 0.22842606364584225}",9.216665675205384,0.3669608565486478,0.0001,-14.433331350410768,-8.282983719943115,
"('fall', 2, 4)",160,norm,1,2,"{'loc': 0.028281249999999997, 'scale': 0.07737903235655962}",182.41614426684956,0.3577998672620351,0.0001,-360.8322885336991,-354.6819409032314,
"('fall', 2, 5)",160,norm,1,2,"{'loc': 0.21779687500000003, 'scale': 1.08048026690807}",-239.41506673221576,0.4943327583124652,0.0001,482.8301334644315,488.9804810948992,
"('fall', 2, 6)",160,norm,1,2,"{'loc': 0.40146875, 'scale': 1.274483608279619}",-265.83673866577186,0.4058759532551117,0.0001,535.6734773315437,541.8238249620114,
"('fall', 2, 7)",160,norm,1,2,"{'loc': 2.1704999999999997, 'scale': 4.009976404621978}",-449.235822459467,0.2947430562208767,0.0001,902.471644918934,908.6219925494016,
"('fall', 2, 8)",160,norm,1,2,"{'loc': 5.402046875, 'scale': 5.304107347670787}",-493.9872039817946,0.1549868654864444,0.0001,991.9744079635892,998.1247555940568,
"('fall', 2, 9)",160,norm,1,2,"{'loc': 5.036359375, 'scale': 3.998220364335501}",-448.7660618251362,0.1057457900287709,0.0002,901.5321236502724,907.68247128074,
"('fall', 2, 10)",160,norm,1,2,"{'loc': 4.18975, 'scale': 3.9030112293266592}",-444.9099037600615,0.1437275687331921,0.0001,893.819807520123,899.9701551505907,
"('fall', 2, 11)",160,norm,1,2,"{'loc': 3.17734375, 'scale': 3.173187520157915}",-411.7880228406489,0.175291316498191,0.0001,827.5760456812978,833.7263933117655,
"('fall', 2, 12)",160,norm,1,2,"{'loc': 3.6038437500000002, 'scale': 3.5079255453666542}",-427.8341413199257,0.1528874566023686,0.0001,859.6682826398514,865.8186302703191,
"('fall', 2, 13)",160,norm,1,2,"{'loc': 4.741984375, 'scale': 4.416093358891245}",-464.671037281483,0.1620348466503301,0.0001,933.342074562966,939.4924221934336,
"('fall', 2, 14)",160,norm,1,2,"{'loc': 5.52725, 'scale': 4.738338326222601}",-475.940006937863,0.1322618107831528,0.0001,955.880013875726,962.0303615061936,
"('fall', 2, 15)",160,norm,1,2,"{'loc': 5.34609375, 'scale': 4.344406017795866}",-462.0524124499251,0.1099643017094268,0.0001,928.1048248998502,934.255172530318,
"('fall', 2, 16)",160,norm,1,2,"{'loc': 4.168578125, 'scale': 3.3755807789858894}",-421.68094806194057,0.1091508533735962,0.0001,847.3618961238811,853.5122437543488,
"('fall', 2, 17)",160,norm,1,2,"{'loc': 2.303296875, 'scale': 2.314912565368881}",-361.32967220647504,0.1606309505588456,0.0001,726.6593444129501,732.8096920434177,
"('fall', 2, 18)",160,norm,1,2,"{'loc': 0.8831249999999999, 'scale': 1.1678443014802957}",-251.85569683165744,0.2254744095846276,0.0001,507.7113936633149,513.8617412937825,
"('fall', 2, 19)",160,norm,1,2,"{'loc': 0.7763281249999999, 'scale': 1.2882648190090749}",-267.55755913180326,0.2740101827789665,0.0001,539.1151182636065,545.2654658940742,
"('fall', 2, 20)",160,norm,1,2,"{'loc': 0.7445468749999999, 'scale': 1.2934436192738492}",-268.1994667473056,0.2830414837564913,0.0001,540.3989334946111,546.5492811250788,
"('fall', 2, 21)",160,norm,1,2,"{'loc': 0.4763125, 'scale': 0.9931061180552408}",-225.92332458815983,0.3346876669377784,0.0001,455.84664917631966,461.9969968067873,
"('fall', 2, 22)",160,norm,1,2,"{'loc': 0.7246875, 'scale': 1.3951317632104683}",-280.3083836690921,0.3535817198748241,0.0001,564.6167673381842,570.7671149686519,
"('fall', 2, 23)",160,norm,1,2,"{'loc': 0.7518906249999999, 'scale': 1.305065573869608}",-269.6306913428604,0.352351796384861,0.0001,543.2613826857207,549.4117303161884,
"('fall', 3, 0)",160,norm,1,2,"{'loc': 0.7121875, 'scale': 1.3399400566699804}",-273.8501459741651,0.3568560848526259,0.0001,551.7002919483302,557.8506395787979,
"('fall', 3, 1)",160,norm,1,2,"{'loc': 0.655359375, 'scale': 1.5494068130778662}",-297.0897103435093,0.3534937676654093,0.0001,598.1794206870186,604.3297683174862,
"('fall', 3, 2)",160,norm,1,2,"{'loc': 0.3409375, 'scale': 0.8066356030412679}",-192.6488440539447,0.4077040212316202,0.0001,389.2976881078894,395.4480357383571,
"('fall', 3, 3)",160,norm,1,2,"{'loc': 0.13865625, 'scale': 0.3594447636090106}",-63.31900348151003,0.3953075951652869,0.0001,130.63800696302008,136.78835459348772,
"('fall', 3, 4)",160,norm,1,2,"{'loc': 0.07528125, 'scale': 0.3229299444514824}",-46.1789861884821,0.4081176326731279,0.0001,96.3579723769642,102.50832000743183,
"('fall', 3, 5)",160,norm,1,2,"{'loc': 0.17559375, 'scale': 0.9557869175898661}",-219.7949204608032,0.4709598277587502,0.0001,443.5898409216064,449.740188552074,
"('fall', 3, 6)",160,norm,1,2,"{'loc': 0.42446875000000006, 'scale': 1.6241239318162999}",-304.62513355636145,0.397225779598477,0.0001,613.2502671127229,619.4006147431905,
"('fall', 3, 7)",160,norm,1,2,"{'loc': 2.506515625, 'scale': 3.901255327784681}",-444.8379061548026,0.2609307540670735,0.0001,893.6758123096052,899.8261599400729,
"('fall', 3, 8)",160,norm,1,2,"{'loc': 5.1549531250000005, 'scale': 4.826571315319524}",-478.8919801897024,0.1479217413287867,0.0001,961.7839603794048,967.9343080098724,
"('fall', 3, 9)",160,norm,1,2,"{'loc': 5.414515625000001, 'scale': 4.147163841644475}",-454.6181155461044,0.1048358816968031,0.0006,913.2362310922088,919.3865787226764,
"('fall', 3, 10)",160,norm,1,2,"{'loc': 4.37240625, 'scale': 3.7117572898441162}",-436.8710337138964,0.1221654490050938,0.0002,877.7420674277928,883.8924150582604,
"('fall', 3, 11)",160,norm,1,2,"{'loc': 4.42490625, 'scale': 3.6688924364119666}",-435.0125378048399,0.1312213868015238,0.0001,874.0250756096798,880.1754232401474,
"('fall', 3, 12)",160,norm,1,2,"{'loc': 3.9669218749999997, 'scale': 3.6920140931758354}",-436.0177067292613,0.1662398940752463,0.0001,876.0354134585225,882.1857610889901,
"('fall', 3, 13)",160,norm,1,2,"{'loc': 5.382484375, 'scale': 4.9397999350371835}",-482.6021383366513,0.1404871301492861,0.0001,969.2042766733024,975.3546243037702,
"('fall', 3, 14)",160,norm,1,2,"{'loc': 6.0222187499999995, 'scale': 5.034792200182986}",-485.6497259932133,0.1513057389069374,0.0001,975.2994519864266,981.4497996168942,
"('fall', 3, 15)",160,norm,1,2,"{'loc': 3.9591875, 'scale': 2.944982843620443}",-399.8466439512766,0.1035908421419613,0.0004,803.6932879025532,809.8436355330208,
"('fall', 3, 16)",160,norm,1,2,"{'loc': 3.6928281249999997, 'scale': 3.0525479767149415}",-405.5864283634262,0.1154695487924997,0.0001,815.1728567268524,821.32320435732,
"('fall', 3, 17)",160,norm,1,2,"{'loc': 2.0858125000000003, 'scale': 2.303725185535104}",-360.5545586900379,0.2037949675288904,0.0001,725.1091173800758,731.2594650105434,
"('fall', 3, 18)",160,norm,1,2,"{'loc': 1.082984375, 'scale': 1.50690285376774}",-292.6391979912314,0.2368620507061151,0.0001,589.2783959824628,595.4287436129305,
"('fall', 3, 19)",160,norm,1,2,"{'loc': 0.72178125, 'scale': 1.328504633610074}",-272.4788011627739,0.2940459985797078,0.0001,548.9576023255478,555.1079499560154,
"('fall', 3, 20)",160,norm,1,2,"{'loc': 0.48890625, 'scale': 1.2840157249177042}",-267.0289576348947,0.3622169997203595,0.0001,538.0579152697894,544.2082629002571,
"('fall', 3, 21)",160,norm,1,2,"{'loc': 0.5013125, 'scale': 1.3468429506047652}",-274.67229309710103,0.379866292288265,0.0001,553.3445861942021,559.4949338246697,
"('fall', 3, 22)",160,norm,1,2,"{'loc': 1.0853125000000001, 'scale': 2.100417085626983}",-345.7719152666532,0.3117359086086724,0.0001,695.5438305333064,701.694178163774,
"('fall', 3, 23)",160,norm,1,2,"{'loc': 1.085859375, 'scale': 2.0659287606999204}",-343.12294744886293,0.3001537341424549,0.0001,690.2458948977259,696.3962425281935,
"('fall', 4, 0)",160,norm,1,2,"{'loc': 0.883125, 'scale': 1.6006935508553783}",-302.300086050296,0.2911640883502449,0.0001,608.6001721005919,614.7505197310595,
"('fall', 4, 1)",160,norm,1,2,"{'loc': 0.6972343750000001, 'scale': 1.039894773705907}",-233.2892899376104,0.2519433098021258,0.0001,470.5785798752208,476.7289275056884,
"('fall', 4, 2)",160,norm,1,2,"{'loc': 0.37028125, 'scale': 0.7731141868433391}",-185.8576017557525,0.3202956057415288,0.0001,375.715203511505,381.8655511419727,
"('fall', 4, 3)",160,norm,1,2,"{'loc': 0.16134375, 'scale': 0.5167273736806842}",-121.39178656190713,0.377799869795881,0.0001,246.78357312381425,252.93392075428187,
"('fall', 4, 4)",160,norm,1,2,"{'loc': 0.033140625, 'scale': 0.09047929963317232}",157.39130473122486,0.3575063938209168,0.0001,-310.7826094624497,-304.6322618319821,
"('fall', 4, 5)",160,norm,1,2,"{'loc': 0.027640624999999995, 'scale': 0.08834911523105014}",161.2032898279461,0.3775667619708041,0.0001,-318.4065796558922,-312.25623202542454,
"('fall', 4, 6)",160,norm,1,2,"{'loc': 0.46520312499999994, 'scale': 2.030541125766167}",-340.3585368245149,0.4096731012403405,0.0001,684.7170736490298,690.8674212794974,
"('fall', 4, 7)",160,norm,1,2,"{'loc': 2.813, 'scale': 4.348279776604191}",-462.1950154301824,0.2594967434216529,0.0001,928.3900308603648,934.5403784908324,
"('fall', 4, 8)",160,norm,1,2,"{'loc': 6.254343749999999, 'scale': 5.199009306825766}",-490.78505963569415,0.1197255516584368,0.0001,985.5701192713884,991.720466901856,
"('fall', 4, 9)",160,norm,1,2,"{'loc': 5.5903125000000005, 'scale': 4.790287347445219}",-477.68462909703294,0.1239319420867536,0.0001,959.369258194066,965.5196058245336,
"('fall', 4, 10)",160,norm,1,2,"{'loc': 4.7499375, 'scale': 4.411445252391075}",-464.5025424968084,0.1665982181161864,0.0001,933.0050849936168,939.1554326240844,
"('fall', 4, 11)",160,norm,1,2,"{'loc': 3.5583593750000007, 'scale': 2.892764668191505}",-396.98419370238105,0.1272315282348725,0.0001,797.9683874047621,804.1187350352297,
"('fall', 4, 12)",160,norm,1,2,"{'loc': 3.6280625, 'scale': 3.921012892795527}",-445.6461671438562,0.2123972590704621,0.0001,895.2923342877124,901.44268191818,
"('fall', 4, 13)",160,norm,1,2,"{'loc': 4.3004375, 'scale': 3.8682073180568732}",-443.47675321857184,0.1491385244493603,0.0001,890.9535064371437,897.1038540676113,
"('fall', 4, 14)",160,norm,1,2,"{'loc': 5.389921875000001, 'scale': 4.712732549151711}",-475.0730291298179,0.1287790354029641,0.0001,954.1460582596358,960.2964058901034,
"('fall', 4, 15)",160,norm,1,2,"{'loc': 3.9157031250000003, 'scale': 3.0621208970953013}",-406.0874100335183,0.1117639502868751,0.0001,816.1748200670365,822.3251676975042,
"('fall', 4, 16)",160,norm,1,2,"{'loc': 4.404671875, 'scale': 3.847486670723693}",-442.617384884843,0.1268861120659047,0.0001,889.234769769686,895.3851174001536,
"('fall', 4, 17)",160,norm,1,2,"{'loc': 2.36603125, 'scale': 2.3759477942283236}",-365.4935939740086,0.1604257856892441,0.0001,734.9871879480172,741.1375355784849,
"('fall', 4, 18)",160,norm,1,2,"{'loc': 1.194890625, 'scale': 1.6046963630932205}",-302.6996944025794,0.2289556971159787,0.0001,609.3993888051588,615.5497364356264,
"('fall', 4, 19)",160,norm,1,2,"{'loc': 0.768109375, 'scale': 1.246207269417736}",-262.24692601327445,0.2694661017163271,0.0001,528.4938520265489,534.6441996570165,
"('fall', 4, 20)",160,norm,1,2,"{'loc': 0.5496874999999999, 'scale': 1.1029284793080418}",-242.7051887047311,0.3337343154390291,0.0001,489.4103774094622,495.5607250399299,
"('fall', 4, 21)",160,norm,1,2,"{'loc': 0.331984375, 'scale': 0.7565271752841132}",-182.387473470491,0.3600335599360344,0.0001,368.774946940982,374.9252945714496,
"('fall', 4, 22)",160,norm,1,2,"{'loc': 0.6220625, 'scale': 1.2381816793563658}",-261.21319184116044,0.3599276449622119,0.0001,526.4263836823209,532.5767313127885,
"('fall', 4, 23)",160,norm,1,2,"{'loc': 1.028453125, 'scale': 1.9359082952170628}",-332.72242444226333,0.2981987419521428,0.0001,669.4448488845267,675.5951965149943,
"('fall', 5, 0)",164,norm,1,2,"{'loc': 1.0960060975609756, 'scale': 2.0173535005804717}",-347.7989061329034,0.2940366541002756,0.0001,699.5978122658069,705.7975451214553,
"('fall', 5, 1)",164,norm,1,2,"{'loc': 0.798704268292683, 'scale': 1.5423620197744619}",-303.7695828013482,0.3234777327912143,0.0001,611.5391656026964,617.7388984583448,
