combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",732,norm,1,2,"{'loc': 1.7361202185792353, 'scale': 1.9445250375031058}",-1525.455999739933,0.2370479038959021,0.0001,3054.911999479866,3064.1035605077886,
"(1, 1)",732,norm,1,2,"{'loc': 1.6160792349726776, 'scale': 1.865817802539608}",-1495.2110088327322,0.2193043966496025,0.0001,2994.4220176654644,3003.613578693387,
"(1, 2)",732,norm,1,2,"{'loc': 1.5084870218579236, 'scale': 1.8599761866192224}",-1492.9156235430112,0.2586844004465427,0.0001,2989.8312470860224,2999.022808113945,
"(1, 3)",732,norm,1,2,"{'loc': 1.5735519125683062, 'scale': 1.8114125869460593}",-1473.5493124989675,0.2312089312365541,0.0001,2951.098624997935,2960.2901860258576,
"(1, 4)",732,norm,1,2,"{'loc': 1.5160792349726775, 'scale': 1.8172783902914214}",-1475.915880396731,0.236134476918491,0.0001,2955.831760793462,2965.0233218213843,
"(1, 5)",732,norm,1,2,"{'loc': 1.5687431693989071, 'scale': 1.8758241608420279}",-1499.1262267029144,0.2450953517377399,0.0001,3002.252453405829,3011.444014433752,
"(1, 6)",732,norm,1,2,"{'loc': 1.6832513661202184, 'scale': 1.8640233938369333}",-1494.506685403106,0.2243212475677306,0.0001,2993.013370806212,3002.204931834134,
"(1, 7)",732,norm,1,2,"{'loc': 1.7673907103825137, 'scale': 1.811577399919007}",-1473.6159111352972,0.1647944921604608,0.0001,2951.2318222705944,2960.423383298517,
"(1, 8)",732,norm,1,2,"{'loc': 2.0663353825136612, 'scale': 1.9902320126967188}",-1542.4629002500094,0.1740033600306136,0.0001,3088.925800500019,3098.1173615279413,
"(1, 9)",732,norm,1,2,"{'loc': 2.2553381147540987, 'scale': 2.0332139530595685}",-1558.1032133437602,0.1447636007641693,0.0001,3120.2064266875204,3129.397987715443,
"(1, 10)",732,norm,1,2,"{'loc': 2.4389207650273224, 'scale': 2.3350866526567717}",-1659.4348748751709,0.1555550287754783,0.0001,3322.8697497503417,3332.061310778264,
