combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",164,norm,1,2,"{'loc': 1.6221341463414636, 'scale': 1.8644890394813862}",-334.875794348288,0.2350198486290574,0.0001,673.7515886965759,679.9513215522244,
"('fall', 1, 1)",164,norm,1,2,"{'loc': 1.7073475609756097, 'scale': 1.8676907266843812}",-335.15717245062734,0.2452550608846526,0.0001,674.3143449012547,680.5140777569031,
"('fall', 1, 2)",164,norm,1,2,"{'loc': 1.5590853658536585, 'scale': 1.771144000055383}",-326.4525285909843,0.2285100590897506,0.0001,656.9050571819686,663.104790037617,
"('fall', 1, 3)",164,norm,1,2,"{'loc': 1.5132164634146341, 'scale': 1.6293853061843426}",-312.7711837170083,0.1993185876800265,0.0001,629.5423674340166,635.742100289665,
"('fall', 1, 4)",164,norm,1,2,"{'loc': 1.3814024390243902, 'scale': 1.5727410531806896}",-306.968397937584,0.2218687879257805,0.0001,617.936795875168,624.1365287308164,
"('fall', 1, 5)",164,norm,1,2,"{'loc': 1.357591463414634, 'scale': 1.725545731327552}",-322.1750315412578,0.2341703464393302,0.0001,648.3500630825156,654.549795938164,
"('fall', 1, 6)",164,norm,1,2,"{'loc': 1.5002439024390246, 'scale': 1.8190645465892468}",-330.83079034980153,0.242951557712555,0.0001,665.6615806996031,671.8613135552515,
"('fall', 1, 7)",164,norm,1,2,"{'loc': 1.654862804878049, 'scale': 1.8278376755247558}",-331.6198413488589,0.1902403784354925,0.0001,667.2396826977179,673.4394155533663,
"('fall', 1, 8)",164,norm,1,2,"{'loc': 2.222362804878049, 'scale': 1.9535371541334803}",-342.5271507994362,0.1557932750993074,0.0001,689.0543015988724,695.2540344545208,
"('fall', 1, 9)",164,norm,1,2,"{'loc': 2.7291006097560975, 'scale': 2.1066464559062954}",-354.9018808651666,0.1096947138359031,0.0001,713.8037617303332,720.0034945859817,
"('fall', 1, 10)",164,norm,1,2,"{'loc': 2.7668140243902437, 'scale': 2.497156024528684}",-382.7909284843244,0.1453861559760079,0.0001,769.5818569686487,775.7815898242972,
"('fall', 1, 11)",164,norm,1,2,"{'loc': 2.7674847560975615, 'scale': 2.413036928386184}",-377.1712382805263,0.1678862215250599,0.0001,758.3424765610525,764.542209416701,
"('fall', 1, 12)",164,norm,1,2,"{'loc': 2.80594512195122, 'scale': 2.179469183257448}",-360.4752613757682,0.18526083863803,0.0001,724.9505227515365,731.1502556071849,
"('fall', 1, 13)",164,norm,1,2,"{'loc': 2.8733841463414636, 'scale': 2.2219667208419547}",-363.6423245393438,0.1826550282982768,0.0001,731.2846490786876,737.484381934336,
"('fall', 1, 14)",164,norm,1,2,"{'loc': 2.755289634146342, 'scale': 2.3127328392897297}",-370.2084185513505,0.1752983703520949,0.0001,744.416837102701,750.6165699583495,
"('fall', 1, 15)",164,norm,1,2,"{'loc': 2.632073170731707, 'scale': 2.178574431967302}",-360.4079195928025,0.2273932327420011,0.0001,724.815839185605,731.0155720412534,
"('fall', 1, 16)",164,norm,1,2,"{'loc': 2.464176829268293, 'scale': 1.9836193728365292}",-345.03331474812023,0.1935947245749835,0.0001,694.0666294962405,700.2663623518889,
"('fall', 1, 17)",164,norm,1,2,"{'loc': 2.348262195121951, 'scale': 2.1204007864736583}",-355.9691592960612,0.2184877806199167,0.0001,715.9383185921224,722.1380514477709,
"('fall', 1, 18)",164,norm,1,2,"{'loc': 1.9505640243902438, 'scale': 2.2236730135534217}",-363.76821509059846,0.2480905378048533,0.0001,731.5364301811969,737.7361630368454,
"('fall', 1, 19)",164,norm,1,2,"{'loc': 1.8852743902439022, 'scale': 2.041727620854157}",-349.7685163239659,0.1786420111003695,0.0001,703.5370326479318,709.7367655035803,
"('fall', 1, 20)",164,norm,1,2,"{'loc': 1.9851524390243902, 'scale': 2.1217328847146186}",-356.07215657791585,0.2243851402222841,0.0001,716.1443131558317,722.3440460114801,
"('fall', 1, 21)",164,norm,1,2,"{'loc': 1.963140243902439, 'scale': 2.057865999326804}",-351.0597212513296,0.1876394857767315,0.0001,706.1194425026591,712.3191753583076,
"('fall', 1, 22)",164,norm,1,2,"{'loc': 1.9820884146341464, 'scale': 2.1040804628903804}",-354.70199950747326,0.1875544924332323,0.0001,713.4039990149465,719.603731870595,
"('fall', 1, 23)",164,norm,1,2,"{'loc': 2.1301676829268295, 'scale': 2.0062215944934163}",-346.8914359287985,0.2131445703374815,0.0001,697.782871857597,703.9826047132455,
"('fall', 2, 0)",160,norm,1,2,"{'loc': 2.216765625, 'scale': 2.0401274201335706}",-341.1121279935983,0.22768716655799,0.0001,686.2242559871966,692.3746036176642,
"('fall', 2, 1)",160,norm,1,2,"{'loc': 1.8990000000000002, 'scale': 1.8887717197626084}",-328.7784427658835,0.2053671131715663,0.0001,661.556885531767,667.7072331622346,
"('fall', 2, 2)",160,norm,1,2,"{'loc': 1.8423124999999998, 'scale': 1.7995747012749288}",-321.0382228991173,0.1728740471179289,0.0001,646.0764457982345,652.2267934287022,
"('fall', 2, 3)",160,norm,1,2,"{'loc': 1.964515625, 'scale': 1.853948078107464}",-325.8009591392639,0.1702058554995997,0.0001,655.6019182785278,661.7522659089955,
"('fall', 2, 4)",160,norm,1,2,"{'loc': 1.7841250000000002, 'scale': 1.776146113253355}",-318.94151125865085,0.1764178585944529,0.0001,641.8830225173017,648.0333701477693,
"('fall', 2, 5)",160,norm,1,2,"{'loc': 1.6688125, 'scale': 1.6894233934522602}",-310.93213065850694,0.1992590911394248,0.0001,625.8642613170139,632.0146089474815,
"('fall', 2, 6)",160,norm,1,2,"{'loc': 1.7692500000000002, 'scale': 1.7709962944625266}",-318.4769279458077,0.2052155486046966,0.0001,640.9538558916154,647.104203522083,
"('fall', 2, 7)",160,norm,1,2,"{'loc': 2.0061875000000002, 'scale': 2.1389966790457504}",-348.6840657168727,0.1749006016350646,0.0001,701.3681314337454,707.518479064213,
