combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",937,norm,1,2,"{'loc': 0.9731008537886873, 'scale': 0.9934122016540845}",-1323.3522163493458,0.1710931251334846,0.0001,2650.704432698692,2660.389799263168,
"(1, 1)",927,norm,1,2,"{'loc': 0.8166251348435813, 'scale': 0.9425308813836112}",-1260.490046898357,0.2206492109401332,0.0001,2524.980093796714,2534.6440009278454,
"(1, 2)",928,norm,1,2,"{'loc': 0.47020878232758617, 'scale': 0.7378056339855819}",-1034.593490912432,0.3220905853550081,0.0001,2073.186981824864,2082.8530452904365,
"(1, 3)",928,norm,1,2,"{'loc': 0.33182462284482755, 'scale': 0.581068947070705}",-812.9768811850062,0.327397030057148,0.0001,1629.9537623700123,1639.6198258355848,
"(1, 4)",928,norm,1,2,"{'loc': 0.2552009698275862, 'scale': 0.45099650278210446}",-577.8125548998584,0.3085678545516006,0.0001,1159.6251097997167,1169.2911732652892,
"(1, 5)",928,norm,1,2,"{'loc': 0.23540005387931037, 'scale': 0.3308313887427787}",-290.2710690254259,0.2672927600334506,0.0001,584.5421380508518,594.2082015164242,
"(1, 6)",928,norm,1,2,"{'loc': 0.26974811422413797, 'scale': 0.3481448000300032}",-337.60801425132433,0.2438362988168174,0.0001,679.2160285026487,688.8820919682211,
"(1, 7)",928,norm,1,2,"{'loc': 0.1645862068965517, 'scale': 0.24865407709827547}",-25.284228780064357,0.2890453730413787,0.0001,54.56845756012871,64.23452102570111,
"(1, 8)",928,norm,1,2,"{'loc': 0.1900369073275862, 'scale': 0.37712423554296015}",-411.80735406063405,0.3306853055985756,0.0001,827.6147081212681,837.2807715868405,
"(1, 9)",928,norm,1,2,"{'loc': 0.2431417025862069, 'scale': 0.37419161214300195}",-404.5627622021736,0.2806119655273401,0.0001,813.1255244043473,822.7915878699197,
"(1, 10)",928,norm,1,2,"{'loc': 0.38184078663793103, 'scale': 0.4688342104401244}",-613.809326880747,0.2457876230973696,0.0001,1231.618653761494,1241.2847172270665,
"(1, 11)",928,norm,1,2,"{'loc': 0.47486557112068967, 'scale': 0.5733363654991445}",-800.5446046805731,0.2173507984272413,0.0001,1605.0892093611462,1614.7552728267187,
"(1, 12)",928,norm,1,2,"{'loc': 0.6165142780172415, 'scale': 0.7095283958014765}",-998.3273406879484,0.2028741641772458,0.0001,2000.6546813758969,2010.3207448414691,
"(1, 13)",928,norm,1,2,"{'loc': 0.6935237068965516, 'scale': 0.6939120635134481}",-977.6744452774292,0.1685363826703346,0.0001,1959.3488905548584,1969.0149540204309,
"(1, 14)",928,norm,1,2,"{'loc': 0.6417866379310344, 'scale': 0.6891562165563206}",-971.2923404531302,0.1863022756041567,0.0001,1946.5846809062605,1956.250744371833,
"(1, 15)",928,norm,1,2,"{'loc': 0.5179197198275861, 'scale': 0.5630525654207262}",-783.7481950334424,0.1921260274491085,0.0001,1571.4963900668847,1581.1624535324572,
"(1, 16)",928,norm,1,2,"{'loc': 0.4495878232758621, 'scale': 0.49184042041772486}",-658.2652643641786,0.1946834536449365,0.0001,1320.5305287283572,1330.1965921939295,
"(1, 17)",928,norm,1,2,"{'loc': 0.35137473060344826, 'scale': 0.40921743200164656}",-487.59893568553525,0.2314422154335613,0.0001,979.1978713710704,988.8639348366428,
"(1, 18)",928,norm,1,2,"{'loc': 0.2985802801724138, 'scale': 0.4069630827495809}",-482.4725172322462,0.3013425443926135,0.0001,968.9450344644924,978.6110979300648,
"(1, 19)",928,norm,1,2,"{'loc': 0.34514412715517245, 'scale': 0.44346641486187544}",-562.1873421781629,0.25861371465132,0.0001,1128.3746843563258,1138.0407478218983,
"(1, 20)",928,norm,1,2,"{'loc': 0.3631683728448276, 'scale': 0.4271251849641388}",-527.3456490678398,0.2269496955557421,0.0001,1058.6912981356795,1068.357361601252,
"(1, 21)",928,norm,1,2,"{'loc': 0.4181107219827586, 'scale': 0.4256519866638468}",-524.1393498652836,0.1806071266005805,0.0001,1052.2786997305673,1061.9447631961398,
