combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",224,norm,1,2,"{'loc': 0.20852455357142857, 'scale': 0.09308862520554187}",213.97930337328984,0.1985524328734099,0.0001,-423.9586067465797,-417.1353146428696,
"('fall', 1, 1)",224,norm,1,2,"{'loc': 0.15990401785714287, 'scale': 0.025821507973691146}",501.2244067590112,0.0511786579446412,0.1567,-998.4488135180223,-991.6255214143124,
"('fall', 1, 2)",224,norm,1,2,"{'loc': 0.1572633928571429, 'scale': 0.02269784886179318}",530.1064360655027,0.0380664359222998,0.6074,-1056.2128721310055,-1049.389580027295,
"('fall', 1, 3)",224,norm,1,2,"{'loc': 0.1565145089285714, 'scale': 0.02032286991847201}",554.8636569044336,0.1022396830548517,0.0001,-1105.7273138088672,-1098.904021705157,
"('fall', 1, 4)",224,norm,1,2,"{'loc': 0.15699441964285715, 'scale': 0.025165938620037027}",506.9848689055803,0.046303663015498,0.2858,-1009.9697378111606,-1003.1464457074504,
"('fall', 1, 5)",224,norm,1,2,"{'loc': 0.16596205357142857, 'scale': 0.06421562891982417}",297.1517076841092,0.2840011739058585,0.0001,-590.3034153682185,-583.4801232645084,
"('fall', 1, 6)",224,norm,1,2,"{'loc': 0.19873772321428573, 'scale': 0.10131575033868745}",195.00876964566936,0.2566498546010457,0.0001,-386.0175392913387,-379.1942471876287,
"('fall', 1, 7)",224,norm,1,2,"{'loc': 0.3616875, 'scale': 0.18979193259612334}",54.40699381986363,0.1391825474137095,0.0001,-104.81398763972726,-97.99069553601718,
"('fall', 1, 8)",224,norm,1,2,"{'loc': 0.6299017857142858, 'scale': 0.2997856123049028}",-47.99218989864025,0.0892592867995469,0.0006,99.9843797972805,106.80767190099056,
"('fall', 1, 9)",224,norm,1,2,"{'loc': 0.794521205357143, 'scale': 0.3902156967728517}",-107.045771640297,0.0738756001462639,0.0043,218.091543280594,224.9148353843041,
"('fall', 1, 10)",224,norm,1,2,"{'loc': 0.8308761160714286, 'scale': 0.41480468187557534}",-120.73398793829011,0.061321920101106,0.044,245.46797587658023,252.2912679802903,
"('fall', 1, 11)",224,norm,1,2,"{'loc': 0.8331071428571429, 'scale': 0.4401348441588437}",-134.01122519270433,0.0634564795187559,0.028,272.02245038540866,278.8457424891187,
"('fall', 1, 12)",224,norm,1,2,"{'loc': 0.6737555803571429, 'scale': 0.4460088274146668}",-136.98092765421106,0.1116969508783793,0.0001,277.9618553084221,284.7851474121322,
"('fall', 1, 13)",224,norm,1,2,"{'loc': 0.3738694196428572, 'scale': 0.24768714058609656}",-5.230326997067303,0.1810209909893422,0.0001,14.460653994134606,21.283946097844684,
"('fall', 1, 14)",224,norm,1,2,"{'loc': 0.2424754464285714, 'scale': 0.14386493642592837}",116.46696943401598,0.2102935944999551,0.0001,-228.933938868032,-222.11064676432187,
"('fall', 1, 15)",224,norm,1,2,"{'loc': 0.29768415178571433, 'scale': 0.25110713525518596}",-8.302097657892517,0.2921930058767261,0.0001,20.604195315785034,27.427487419495115,
"('fall', 1, 16)",224,norm,1,2,"{'loc': 0.3028136160714286, 'scale': 0.19066421032297787}",53.37985543972623,0.1674679264062072,0.0001,-102.75971087945246,-95.93641877574238,
"('fall', 1, 17)",224,norm,1,2,"{'loc': 0.470140625, 'scale': 0.3100842542496119}",-55.55811579943752,0.119784501040163,0.0001,115.11623159887505,121.9395237025851,
"('fall', 1, 18)",224,norm,1,2,"{'loc': 0.5332142857142858, 'scale': 0.29202334265099633}",-42.11580662942082,0.0786371295785205,0.0019,88.23161325884163,95.05490536255172,
"('fall', 1, 19)",224,norm,1,2,"{'loc': 0.5879040178571427, 'scale': 0.32702192434409344}",-67.47114523432137,0.0724042124965883,0.0061,138.94229046864274,145.76558257235283,
"('fall', 1, 20)",224,norm,1,2,"{'loc': 0.5325669642857144, 'scale': 0.3649786663318715}",-92.06896332278868,0.1571772084030041,0.0001,188.13792664557735,194.96121874928747,
"('fall', 1, 21)",224,norm,1,2,"{'loc': 0.43219084821428566, 'scale': 0.1952559535714189}",48.04922426739083,0.1118577260732945,0.0001,-92.09844853478164,-85.27515643107158,
"('fall', 1, 22)",224,norm,1,2,"{'loc': 0.5116339285714285, 'scale': 0.2872664471166631}",-38.43692752780298,0.1386206422939554,0.0001,80.87385505560596,87.69714715931603,
"('fall', 1, 23)",224,norm,1,2,"{'loc': 0.4145859375, 'scale': 0.2379717381104312}",3.732921156650007,0.1028557747102565,0.0001,-3.465842313300014,3.3574497904100653,
"('fall', 2, 0)",228,norm,1,2,"{'loc': 0.22386513157894733, 'scale': 0.10139101703125288}",198.32175253944763,0.2271509804801306,0.0001,-392.64350507889526,-385.7848138209864,
"('fall', 2, 1)",224,norm,1,2,"{'loc': 0.1659765625, 'scale': 0.03724564418762885}",419.1671102863046,0.1256706664728228,0.0001,-834.3342205726092,-827.5109284688991,
"('fall', 2, 2)",224,norm,1,2,"{'loc': 0.16276004464285715, 'scale': 0.026295255623430977}",497.1519207005455,0.07811120949562,0.0029,-990.303841401091,-983.4805492973808,
"('fall', 2, 3)",224,norm,1,2,"{'loc': 0.15991183035714288, 'scale': 0.02831006148041351}",480.6142823934189,0.0829977291053333,0.0013,-957.228564786838,-950.4052726831278,
"('fall', 2, 4)",224,norm,1,2,"{'loc': 0.15857700892857143, 'scale': 0.025193989247010717}",506.7353315707176,0.0399300950787968,0.5296,-1009.4706631414352,-1002.6473710377252,
"('fall', 2, 5)",220,norm,1,2,"{'loc': 0.1566625, 'scale': 0.029720095980895426}",461.338525214136,0.0651378945831757,0.0258,-918.677050428272,-911.8897953355672,
"('fall', 2, 6)",224,norm,1,2,"{'loc': 0.20160044642857142, 'scale': 0.09193929637837513}",216.76215869972796,0.2371768771144922,0.0001,-429.5243173994559,-422.7010252957458,
"('fall', 2, 7)",224,norm,1,2,"{'loc': 0.36042522321428566, 'scale': 0.16955487529574995}",79.6633876179751,0.1313515040657465,0.0001,-155.3267752359502,-148.50348313224012,
"('fall', 2, 8)",224,norm,1,2,"{'loc': 0.5435848214285715, 'scale': 0.2585049122943803}",-14.805941038224272,0.1244658004505886,0.0001,33.611882076448545,40.43517418015863,
"('fall', 2, 9)",224,norm,1,2,"{'loc': 0.5194274553571429, 'scale': 0.27595036176665866}",-29.43455314093221,0.1889452525217591,0.0001,62.86910628186441,69.69239838557449,
"('fall', 2, 10)",224,norm,1,2,"{'loc': 0.6223872767857141, 'scale': 0.35042529464361766}",-82.9540988839848,0.1511113494462865,0.0001,169.9081977679696,176.73148987167968,
"('fall', 2, 11)",224,norm,1,2,"{'loc': 0.5868035714285715, 'scale': 0.33711125830846456}",-74.27756525014185,0.1331162611660514,0.0001,152.5551305002837,159.37842260399378,
"('fall', 2, 12)",224,norm,1,2,"{'loc': 0.4140669642857143, 'scale': 0.2566191917575231}",-13.165935129790448,0.1380917083630561,0.0001,30.331870259580896,37.15516236329098,
"('fall', 2, 13)",224,norm,1,2,"{'loc': 0.3556897321428572, 'scale': 0.2142545755719109}",27.25001043504931,0.1351689242014121,0.0001,-50.50002087009862,-43.67672876638854,
"('fall', 2, 14)",224,norm,1,2,"{'loc': 0.26352678571428567, 'scale': 0.1664007954576963}",83.8695058895619,0.247605511012632,0.0001,-163.7390117791238,-156.91571967541373,
"('fall', 2, 15)",228,norm,1,2,"{'loc': 0.21368201754385963, 'scale': 0.08012194505964046}",252.00086652529225,0.0759779827630963,0.0023,-500.0017330505845,-493.1430417926756,
"('fall', 2, 16)",224,norm,1,2,"{'loc': 0.2992767857142857, 'scale': 0.17713461624876414}",69.8671139022461,0.1518294930365165,0.0001,-135.7342278044922,-128.91093570078212,
"('fall', 2, 17)",224,norm,1,2,"{'loc': 0.4424676339285714, 'scale': 0.2707156960184263}",-25.14454482107131,0.1264441556959583,0.0001,54.28908964214262,61.1123817458527,
"('fall', 2, 18)",224,norm,1,2,"{'loc': 0.44643191964285717, 'scale': 0.23102343533791722}",10.370659873783788,0.1214047125290361,0.0001,-16.741319747567573,-9.918027643857494,
"('fall', 2, 19)",224,norm,1,2,"{'loc': 0.5537209821428571, 'scale': 0.3997125163140911}",-112.43205875338369,0.1255753442484283,0.0001,228.86411750676737,235.68740961047743,
"('fall', 2, 20)",224,norm,1,2,"{'loc': 0.4775055803571429, 'scale': 0.3843613335580006}",-103.659659528358,0.1814749110968585,0.0001,211.319319056716,218.1426111604261,
"('fall', 2, 21)",224,norm,1,2,"{'loc': 0.43883370535714283, 'scale': 0.2947907228549766}",-44.22856362583879,0.1984268667411943,0.0001,92.45712725167758,99.28041935538764,
"('fall', 2, 22)",224,norm,1,2,"{'loc': 0.4860892857142857, 'scale': 0.2165277037525382}",24.886006793952195,0.0648410804389467,0.023,-45.77201358790439,-38.94872148419431,
"('fall', 2, 23)",224,norm,1,2,"{'loc': 0.4298560267857143, 'scale': 0.26345217968220125}",-19.052347877306996,0.1061325378904269,0.0001,42.10469575461399,48.92798785832407,
"('fall', 3, 0)",220,norm,1,2,"{'loc': 0.24035909090909094, 'scale': 0.15628828086436036}",96.16518771992914,0.2379725485921993,0.0001,-188.33037543985827,-181.54312034715355,
"('fall', 3, 1)",216,norm,1,2,"{'loc': 0.16986574074074076, 'scale': 0.049097343146864196}",344.522553876621,0.2035102116796638,0.0001,-685.045107753242,-678.2945509378736,
"('fall', 3, 2)",216,norm,1,2,"{'loc': 0.16772106481481483, 'scale': 0.03493043726432981}",418.0589644465234,0.1238174917896259,0.0001,-832.1179288930468,-825.3673720776785,
"('fall', 3, 3)",216,norm,1,2,"{'loc': 0.1598321759259259, 'scale': 0.032346063779455536}",434.6620721914595,0.1122927840049308,0.0001,-865.324144382919,-858.5735875675507,
"('fall', 3, 4)",216,norm,1,2,"{'loc': 0.16252314814814817, 'scale': 0.032627741069699956}",432.78923509959066,0.0730616173961501,0.007,-861.5784701991813,-854.827913383813,
"('fall', 3, 5)",216,norm,1,2,"{'loc': 0.17097337962962963, 'scale': 0.07525298488090364}",252.27961417665037,0.2803739731887162,0.0001,-500.5592283533007,-493.8086715379324,
"('fall', 3, 6)",216,norm,1,2,"{'loc': 0.2002916666666667, 'scale': 0.1032025466013315}",184.05861479963292,0.2640704372281834,0.0001,-364.1172295992659,-357.3666727838976,
"('fall', 3, 7)",216,norm,1,2,"{'loc': 0.3561331018518519, 'scale': 0.17314199489818455}",72.29621696621007,0.1342082429915861,0.0001,-140.59243393242014,-133.8418771170518,
"('fall', 3, 8)",216,norm,1,2,"{'loc': 0.49522453703703706, 'scale': 0.22971767832689058}",11.22458609526288,0.1035577425537817,0.0001,-18.44917219052576,-11.698615375157429,
"('fall', 3, 9)",216,norm,1,2,"{'loc': 0.5395497685185185, 'scale': 0.2510349794175109}",-7.943517476721775,0.1830678586996024,0.0001,19.88703495344355,26.63759176881188,
"('fall', 3, 10)",216,norm,1,2,"{'loc': 0.5657800925925925, 'scale': 0.37241091825327927}",-93.13512144771464,0.2098777540187908,0.0001,190.2702428954293,197.02079971079763,
"('fall', 3, 11)",223,norm,1,2,"{'loc': 0.5578183856502241, 'scale': 0.2924388960714878}",-42.244896275610856,0.1181320812613108,0.0001,88.48979255122171,95.30413609414197,
"('fall', 3, 12)",224,norm,1,2,"{'loc': 0.5170848214285715, 'scale': 0.3465164090076764}",-80.44140791113796,0.1148831123584265,0.0001,164.88281582227592,171.706107925986,
"('fall', 3, 13)",224,norm,1,2,"{'loc': 0.32678571428571423, 'scale': 0.20610547657568393}",35.93602562244136,0.1637223737032389,0.0001,-67.87205124488273,-61.048759141172646,
"('fall', 3, 14)",224,norm,1,2,"{'loc': 0.26172991071428575, 'scale': 0.14261195139693597}",118.42643247041252,0.192986852700657,0.0001,-232.852864940825,-226.02957283711493,
"('fall', 3, 15)",224,norm,1,2,"{'loc': 0.29576897321428575, 'scale': 0.22114430089051906}",20.1602939170568,0.2209287384201289,0.0001,-36.3205878341136,-29.497295730403515,
"('fall', 3, 16)",224,norm,1,2,"{'loc': 0.38358258928571426, 'scale': 0.25094100777745953}",-8.153854678069429,0.1386113404147915,0.0001,20.307709356138854,27.13100145984894,
"('fall', 3, 17)",224,norm,1,2,"{'loc': 0.41644419642857144, 'scale': 0.24579819913592008}",-3.515483951929962,0.1140280055029213,0.0001,11.030967903859924,17.854260007570005,
"('fall', 3, 18)",224,norm,1,2,"{'loc': 0.4791696428571428, 'scale': 0.30186792677731883}",-49.54271781523904,0.1440274445579913,0.0001,103.08543563047807,109.90872773418816,
"('fall', 3, 19)",224,norm,1,2,"{'loc': 0.4852433035714286, 'scale': 0.3412538076380677}",-77.01338592039843,0.1479544698131339,0.0001,158.02677184079687,164.85006394450696,
"('fall', 3, 20)",224,norm,1,2,"{'loc': 0.5068839285714286, 'scale': 0.3916911528024005}",-107.8911473857039,0.2061466973008723,0.0001,219.7822947714078,226.6055868751179,
"('fall', 3, 21)",224,norm,1,2,"{'loc': 0.4351127232142857, 'scale': 0.24071765925819572}",1.1630163825383364,0.1118765459611242,0.0001,1.6739672349233272,8.497259338633405,
"('fall', 3, 22)",224,norm,1,2,"{'loc': 0.4535379464285714, 'scale': 0.22453041327217949}",16.756449163994816,0.0599142168672788,0.0466,-29.51289832798963,-22.68960622427955,
"('fall', 3, 23)",224,norm,1,2,"{'loc': 0.3902477678571428, 'scale': 0.24875764412055842}",-6.196368622522414,0.1358833046662448,0.0001,16.392737245044827,23.21602934875491,
"('fall', 4, 0)",232,norm,1,2,"{'loc': 0.21032435344827588, 'scale': 0.09514379781421911}",216.5551422779663,0.222893353868752,0.0001,-429.1102845559326,-422.2168098126,
"('fall', 4, 1)",224,norm,1,2,"{'loc': 0.16598883928571428, 'scale': 0.025787623960838255}",501.5185415248995,0.0627733751355817,0.0311,-999.037083049799,-992.2137909460888,
"('fall', 4, 2)",224,norm,1,2,"{'loc': 0.1607924107142857, 'scale': 0.02290706642943924}",528.0511723452689,0.0486044672921763,0.2189,-1052.1023446905378,-1045.2790525868277,
"('fall', 4, 3)",224,norm,1,2,"{'loc': 0.1639654017857143, 'scale': 0.029039068462331855}",474.9191180336432,0.0581827888070659,0.0652,-945.8382360672864,-939.0149439635765,
"('fall', 4, 4)",224,norm,1,2,"{'loc': 0.16239955357142857, 'scale': 0.031072198827557615}",459.7607290659876,0.0778958556924613,0.0031,-915.5214581319752,-908.6981660282652,
"('fall', 4, 5)",224,norm,1,2,"{'loc': 0.16497433035714285, 'scale': 0.03960162474681175}",405.4280382653316,0.1636825420841068,0.0001,-806.8560765306631,-800.0327844269531,
"('fall', 4, 6)",224,norm,1,2,"{'loc': 0.2197377232142857, 'scale': 0.11311273914888047}",170.3367081574089,0.2542223271754656,0.0001,-336.6734163148178,-329.8501242111077,
"('fall', 4, 7)",224,norm,1,2,"{'loc': 0.3789832589285714, 'scale': 0.1917314682412174}",52.12949405842036,0.1360762948168855,0.0001,-100.25898811684073,-93.43569601313064,
"('fall', 4, 8)",224,norm,1,2,"{'loc': 0.5658270089285714, 'scale': 0.24573125413621497}",-3.4544675472085764,0.1035811923488159,0.0001,10.908935094417153,17.732227198127234,
"('fall', 4, 9)",224,norm,1,2,"{'loc': 0.5784698660714286, 'scale': 0.331880745404236}",-70.77480659679115,0.1555620741868953,0.0001,145.5496131935823,152.3729052972924,
"('fall', 4, 10)",224,norm,1,2,"{'loc': 0.4786529017857143, 'scale': 0.24852831853603222}",-5.989771459389644,0.1374147198805457,0.0001,15.979542918779288,22.80283502248937,
"('fall', 4, 11)",224,norm,1,2,"{'loc': 0.5168002232142858, 'scale': 0.29915695345635784}",-47.521962394911775,0.1047430439332775,0.0001,99.04392478982356,105.86721689353362,
"('fall', 4, 12)",224,norm,1,2,"{'loc': 0.4168381696428572, 'scale': 0.25515103476342443}",-11.8807174605236,0.1487318153439853,0.0001,27.7614349210472,34.58472702475728,
"('fall', 4, 13)",224,norm,1,2,"{'loc': 0.2678448660714286, 'scale': 0.161220066388251}",90.9544030383294,0.2141905649132197,0.0001,-177.90880607665878,-171.0855139729487,
"('fall', 4, 14)",224,norm,1,2,"{'loc': 0.2233638392857143, 'scale': 0.09804145322028637}",202.36750564779143,0.1656892947988163,0.0001,-400.7350112955829,-393.91171919187286,
"('fall', 4, 15)",224,norm,1,2,"{'loc': 0.21911607142857142, 'scale': 0.10726366738054162}",182.22999453228763,0.1673600498882889,0.0001,-360.45998906457527,-353.6366969608652,
"('fall', 4, 16)",224,norm,1,2,"{'loc': 0.29521875, 'scale': 0.16363053209094588}",87.63007961088576,0.1333628706478212,0.0001,-171.26015922177152,-164.43686711806143,
"('fall', 4, 17)",224,norm,1,2,"{'loc': 0.4025424107142857, 'scale': 0.21402424029411754}",27.49095210803841,0.0853998503209974,0.0009,-50.98190421607682,-44.15861211236674,
"('fall', 4, 18)",224,norm,1,2,"{'loc': 0.5794363839285713, 'scale': 0.3741836726758556}",-97.64832772724586,0.1205693613102758,0.0001,199.2966554544917,206.1199475582018,
"('fall', 4, 19)",224,norm,1,2,"{'loc': 0.6372366071428571, 'scale': 0.4898417825368163}",-157.97951689051882,0.1642255552800312,0.0001,319.95903378103765,326.7823258847477,
